Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;6;23,4;81,8;
2024-01-02;0;25,2;78,3;
2024-01-03;2,6;25,8;82,5;
2024-01-04;62,2;24;87,4;
2024-01-05;3,2;24,9;86;
2024-01-06;1,2;25,1;81,7;
2024-01-07;0;26;78,7;
2024-01-08;0;28,1;73,6;
2024-01-09;0;29;67,8;
2024-01-10;0;28,4;78,3;
2024-01-11;0;29;71,9;
2024-01-12;3;27,8;77;
2024-01-13;13,4;25,3;90,9;
2024-01-14;115,4;25,9;87,2;
2024-01-15;0;27,9;78,4;
2024-01-16;13,8;31;62,9;
2024-01-17;0;31,5;64,2;
2024-01-18;0;28,4;82,3;
2024-01-19;0;28,1;79,8;
2024-01-20;0;30,3;65,3;
2024-01-21;44,4;26,7;81,7;
2024-01-22;13,6;24,6;87,9;
2024-01-23;8,2;21,6;94,3;
2024-01-24;55;21,3;89,9;
2024-01-25;1,6;23,9;86,3;
2024-01-26;9,4;23,4;85,6;
2024-01-27;2;24;85;
2024-01-28;2;24,4;86,7;
2024-01-29;21;25,3;79,5;
2024-01-30;0;27,8;73,5;
2024-01-31;0;26,3;77,6;
2024-02-01;44,4;25,4;76;
2024-02-02;2,6;24,5;88,5;
2024-02-03;4,2;26,4;80,5;
2024-02-04;0;26,4;79,6;
2024-02-05;52,8;26,7;74,7;
2024-02-06;0;26,6;80,6;
2024-02-07;0;27,1;77,8;
2024-02-08;0;27,3;77,5;
2024-02-09;0;27,5;73,5;
2024-02-10;0;27,7;69;
2024-02-11;0;29,2;65;
2024-02-12;0;30,4;55,8;
2024-02-13;0;30,9;56,5;
2024-02-14;0;27,3;68,6;
2024-02-15;6;24,1;93,7;
2024-02-16;108,4;25;82,9;
2024-02-17;0;25,2;80;
2024-02-18;4;25,9;81;
2024-02-19;0;25,9;82,8;
2024-02-20;1,8;25,1;86,8;
2024-02-21;7,2;25,9;86;
2024-02-22;44,4;25,7;83,8;
2024-02-23;3,2;29,1;68;
2024-02-24;0;30,2;67,3;
2024-02-25;0;27,9;79,4;
2024-02-26;0;27,4;80,8;
2024-02-27;0;27,9;76,8;
2024-02-28;0;28,6;76;
2024-02-29;2,4;27,7;80,9;
2024-03-01;0;27,7;81,3;
2024-03-02;1,2;25,8;76,8;
2024-03-03;0;26,4;72;
2024-03-04;0;27;71,4;
2024-03-05;0;26,8;77,6;
2024-03-06;51,2;25,3;86;
2024-03-07;13;26,3;85,8;
2024-03-08;4;27,1;81,5;
2024-03-09;0;27,7;80,3;
2024-03-10;33,8;27,2;82,9;
2024-03-11;5,8;26,6;81,3;
2024-03-12;0;25,6;81,6;
2024-03-13;0;25,7;81,2;
2024-03-14;0;25,9;80,8;
2024-03-15;0;27,4;76,9;
2024-03-16;0;29,5;71;
2024-03-17;0;30;71,1;
2024-03-18;0;28,5;77,1;
2024-03-19;0;28,1;80,1;
2024-03-20;0;28,2;75,8;
2024-03-21;0;30,9;65,5;
2024-03-22;2;25,2;88,9;
2024-03-23;18;22,6;86,8;
2024-03-24;1,6;22,3;91,4;
2024-03-25;2,4;24,5;84,9;
2024-03-26;2;23,5;89,3;
2024-03-27;9,8;22,7;91,1;
2024-03-28;2,6;23,4;92,8;
2024-03-29;5;24,4;90,3;
2024-03-30;6;24,8;88,2;
2024-03-31;1,4;24,1;82,8;
2024-04-01;0;24,4;79,5;
2024-04-02;0;25,2;79,7;
2024-04-03;0;24,7;82;
2024-04-04;0;25,2;81,3;
2024-04-05;0;26;79,3;
2024-04-06;0;25;77,7;
2024-04-07;0;24,5;79,9;
2024-04-08;0;25,9;73,7;
2024-04-09;0;26;78,3;
2024-04-10;0;25,9;78,8;
2024-04-11;0;25,6;81,3;
2024-04-12;0;25,5;81,5;
2024-04-13;0;26,2;75,1;
2024-04-14;0;25,2;76,4;
2024-04-15;0;26,5;71,1;
2024-04-16;0;27,3;69,3;
2024-04-17;0;27,6;66,6;
2024-04-18;3,2;23,2;82,7;
2024-04-19;0;22,5;74,8;
2024-04-20;0;22,4;74,9;
2024-04-21;0;22,4;75,3;
2024-04-22;0;23,9;69;
2024-04-23;0;25,1;67,5;
2024-04-24;0;26,3;63,1;
2024-04-25;0;24,6;81,7;
2024-04-26;0;25;78,2;
2024-04-27;0;26,4;66,7;
2024-04-28;0;29,1;57,2;
2024-04-29;0;26;75,7;
2024-04-30;0;26,6;74,8;
2024-05-01;0;28,9;60;
2024-05-02;0;28,8;61,9;
2024-05-03;0;27,2;67;
2024-05-04;0;26,2;72,2;
2024-05-05;0;27,1;64;
2024-05-06;0;26,9;63,5;
2024-05-07;0;28,2;58,6;
2024-05-08;0;28,5;54,7;
2024-05-09;0;28,8;53,6;
2024-05-10;0;24,9;79;
2024-05-11;0;26,4;69,7;
2024-05-12;0;28;60,4;
2024-05-13;0;28,1;55,5;
2024-05-14;0;24,5;79,3;
2024-05-15;1;21,6;91,9;
2024-05-16;1,2;23,2;84,1;
2024-05-17;0;27,2;65,2;
2024-05-18;0;26,3;70,5;
2024-05-19;0;24,2;80,8;
2024-05-20;0;25,5;74;
2024-05-21;6;22,5;85,4;
2024-05-22;2;24;76,3;
2024-05-23;0;24,9;70,4;
2024-05-24;0;26;62,8;
2024-05-25;0;22,3;80,7;
2024-05-26;4,4;19,3;92,2;
2024-05-27;14;19,9;91,1;
2024-05-28;8;23,4;78,5;
2024-05-29;8;21;78;
2024-05-30;0;19,8;70,6;
2024-05-31;0;18,7;77,8;
2024-06-01;0;20,3;77,5;
2024-06-02;0;21,3;70,8;
2024-06-03;0;24,2;59,5;
2024-06-04;0;22,4;80,3;
2024-06-05;4;20,8;86,2;
2024-06-06;2;21,4;80,5;
2024-06-07;0;22,1;76,7;
2024-06-08;0;22,3;77,8;
2024-06-09;0;23,1;69,6;
2024-06-10;0;25,2;58,9;
2024-06-11;0;24,3;61,6;
2024-06-12;0;21,8;73,3;
2024-06-13;0;23;61,8;
2024-06-14;0;24;55,1;
2024-06-15;0;24,7;54,6;
2024-06-16;0;24,6;55,7;
2024-06-17;0;25,1;52,6;
2024-06-18;0;25,7;47;
2024-06-19;0;23,1;59,6;
2024-06-20;0;22,9;60,1;
2024-06-21;0;21,6;68;
2024-06-22;0;22,8;66,7;
2024-06-23;0;25,9;52,1;
2024-06-24;0;27,4;50,7;
2024-06-25;2;24,4;75,3;
2024-06-26;0;25,4;68,2;
2024-06-27;0;23,8;74,4;
2024-06-28;0;24,9;70,8;
2024-06-29;0;24,4;69;
2024-06-30;3,4;18,6;91,3;
2024-07-01;4,2;17,6;91,8;
2024-07-02;19,6;20,1;82,9;
2024-07-03;2;23,7;68,2;
2024-07-04;0;25,4;60,4;
2024-07-05;0;23,6;68;
2024-07-06;0;21,4;80,3;
2024-07-07;0;21,8;75,5;
2024-07-08;0;21,1;81;
2024-07-09;8;19,8;88,8;
2024-07-10;2;22,1;80;
2024-07-11;3,2;20,6;89,4;
2024-07-12;0;21,2;87,5;
2024-07-13;0;20,4;87,9;
2024-07-14;1,4;21,6;80,3;
2024-07-15;0;19,6;85;
2024-07-16;0;19,2;82,5;
2024-07-17;0;21;79;
2024-07-18;0;20,3;81;
2024-07-19;0;20,2;78,4;
2024-07-20;0;18,2;80,2;
2024-07-21;0;20;76,8;
2024-07-22;0;20,7;73,4;
2024-07-23;0;20,1;77,9;
2024-07-24;0;20,2;73,3;
2024-07-25;0;21,6;69,7;
2024-07-26;0;22,3;65,4;
2024-07-27;0;22,6;62,2;
2024-07-28;0;23,3;65,2;
2024-07-29;0;20,6;83,9;
2024-07-30;0;19,1;88,3;
2024-07-31;4,8;20,5;79,5;
2024-08-01;0;21,1;75,4;
2024-08-02;0;21,5;67;
2024-08-03;0;23,2;66,8;
2024-08-04;0;25,6;63,1;
2024-08-05;0;25,5;57,5;
2024-08-06;0;25,5;60,1;
2024-08-07;0;26;47,2;
2024-08-08;0;25,8;50,2;
2024-08-09;0;22,2;77;
2024-08-10;17,2;17,2;90,3;
2024-08-11;7,6;17,3;75,1;
2024-08-12;0;19,1;60,3;
2024-08-13;0;16;65,1;
2024-08-14;0;17,5;71,1;
2024-08-15;0;20;73,8;
2024-08-16;0;22,5;70,3;
2024-08-17;0;23,9;63;
2024-08-18;0;24,3;59,1;
2024-08-19;0;24,6;59,3;
2024-08-20;0;23,9;61,5;
2024-08-21;2;22,6;76,6;
2024-08-22;0;25,6;57,4;
2024-08-23;0;28,6;42;
2024-08-24;0;23,2;76,4;
2024-08-25;2;19,1;86;
2024-08-26;16,4;15,8;80,1;
2024-08-27;0;16,8;70,3;
2024-08-28;0;19,5;69,4;
2024-08-29;0;20,6;68,7;
2024-08-30;0;22,2;67,8;
2024-08-31;0;19,9;82,7;
2024-09-01;0;25,3;62,3;
2024-09-02;0;24;63,1;
2024-09-03;0;22,7;75,2;
2024-09-04;0;23,5;75,6;
2024-09-05;0;23,9;71,2;
2024-09-06;0;21,9;84;
2024-09-07;0;23,1;80,1;
2024-09-08;0;24,5;77,5;
2024-09-09;0;25,8;68,4;
2024-09-10;2;25,3;68,1;
2024-09-11;0;29,7;38,7;
2024-09-12;0;30;33,9;
2024-09-13;0;27,8;48;
2024-09-14;0;26,5;52,3;
2024-09-15;0;22,9;79,2;
2024-09-16;0;23,1;79,3;
2024-09-17;5,6;19,6;89,6;
2024-09-18;1;21,3;76,5;
2024-09-19;0;22,5;70,8;
2024-09-20;0;25,7;66,3;
2024-09-21;0;25;73,6;
2024-09-22;1,6;24,9;71,7;
2024-09-23;0;25,1;73,1;
2024-09-24;0;25;75,2;
2024-09-25;0;27,5;61,6;
2024-09-26;0;27,1;61,2;
2024-09-27;0;25,5;70,5;
2024-09-28;2;22,2;74,8;
2024-09-29;2;23,7;69,2;
2024-09-30;0;25;63,3;
2024-10-01;0;29,4;47,1;
2024-10-02;0;28,8;48,9;
2024-10-03;0;24,4;77,9;
2024-10-04;3,2;20,6;91,1;
2024-10-05;8,2;21,5;75,8;
2024-10-06;0;22,8;60,8;
2024-10-07;0;22,3;64,3;
2024-10-08;0;22,4;72,1;
2024-10-09;0;22,5;82;
2024-10-10;1,8;22;87,1;
2024-10-11;1;24,9;73;
2024-10-12;4;26,5;66,9;
2024-10-13;0;24,1;73,5;
2024-10-14;6;22,7;74,7;
2024-10-15;0;24,3;58;
2024-10-16;0;23,1;70,7;
2024-10-17;2;22,8;78,2;
2024-10-18;0;23;79,7;
2024-10-19;1,2;21,2;91,4;
2024-10-20;65,6;20,2;93,8;
2024-10-21;20,8;22,9;87,9;
2024-10-22;0;26,5;71,6;
2024-10-23;0;27,2;68;
2024-10-24;1,6;25,3;80,8;
2024-10-25;1,4;28,3;62;
2024-10-26;1;27,8;66,4;
2024-10-27;6;22;84,8;
2024-10-28;6;21,8;83,9;
2024-10-29;4;22,9;81,9;
2024-10-30;4;23,7;77,8;
2024-10-31;2;23,2;74,7;
2024-11-01;null;25,1;72;
2024-11-02;null;25,5;73,5;
2024-11-03;null;25,8;74,2;
2024-11-04;null;24,8;83,3;
2024-11-05;null;25,9;74,9;
2024-11-06;null;28,7;55;
2024-11-07;null;28,3;61,8;
2024-11-08;null;26,2;71,9;
2024-11-09;null;22,4;84,7;
2024-11-10;null;22,5;74,3;
2024-11-11;null;24,5;69,2;
2024-11-12;null;26;67,7;
2024-11-13;null;21,3;89,2;
2024-11-14;null;20,8;85,6;
2024-11-15;null;22,6;85,8;
2024-11-16;null;22,6;93,6;
2024-11-17;null;24,6;73,5;
2024-11-18;null;25,7;71,4;
2024-11-19;null;24,6;77,6;
2024-11-20;null;25,4;78,6;
2024-11-21;null;24,8;83;
2024-11-22;null;23,1;84,5;
2024-11-23;null;21,1;88;
2024-11-24;null;21,8;80;
2024-11-25;null;23,5;70,5;
2024-11-26;null;25,9;61,5;
2024-11-27;null;28,7;57,5;
2024-11-28;null;29,3;60,5;
2024-11-29;null;25,3;82,6;
2024-11-30;null;25,6;83,9;
2024-12-01;null;26,4;79,7;
2024-12-02;null;28,4;70,5;
2024-12-03;null;26;81,8;
2024-12-04;null;22,9;91,7;
2024-12-05;null;22,7;91,4;
2024-12-06;null;29,1;66,5;
2024-12-07;null;30,3;46,9;
2024-12-08;null;27,1;77,4;
2024-12-09;null;26,2;81,8;
2024-12-10;null;25,4;84,3;
2024-12-11;null;23,6;80,4;
2024-12-12;null;24,2;74,5;
2024-12-13;null;25,1;73,8;
2024-12-14;0;25,9;75,3;
2024-12-15;6;27,4;65,7;
2024-12-16;0;28,2;63,6;
2024-12-17;0;24,8;77;
2024-12-18;0;24,1;79;
2024-12-19;4;25,6;77;
2024-12-20;0;27,2;72,7;
2024-12-21;3,2;25,6;80,6;
2024-12-22;2,6;25,6;85,7;
2024-12-23;6;24,7;87,2;
2024-12-24;9,8;23,6;88;
2024-12-25;4;27,6;72,8;
2024-12-26;2;27,5;73,5;
2024-12-27;9,6;25,5;87,2;
2024-12-28;6;26;79,9;
2024-12-29;0;25,5;82,7;
2024-12-30;0;25,4;81,9;
2024-12-31;0;25,5;78,2;

