Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;0;24;null;
2024-01-02;0;24,8;null;
2024-01-03;2;24;null;
2024-01-04;33,4;23,3;null;
2024-01-05;1;24,1;null;
2024-01-06;2;24,7;null;
2024-01-07;0;25;null;
2024-01-08;0;27,7;67,9;
2024-01-09;0;27,2;null;
2024-01-10;0;26,7;null;
2024-01-11;0;29,6;67,2;
2024-01-12;0;27,7;null;
2024-01-13;1,8;25,9;null;
2024-01-14;42;26,1;null;
2024-01-15;0;29,3;null;
2024-01-16;0;30,5;60;
2024-01-17;0;30,3;null;
2024-01-18;0;28,3;null;
2024-01-19;24,4;28,2;null;
2024-01-20;2;29,3;null;
2024-01-21;39,2;26,4;null;
2024-01-22;1,2;26,1;null;
2024-01-23;7,6;22;null;
2024-01-24;38,8;21,5;null;
2024-01-25;2,8;23,7;null;
2024-01-26;15;23,5;null;
2024-01-27;7,2;24;null;
2024-01-28;6;24,1;null;
2024-01-29;4,4;24,5;null;
2024-01-30;0;26,6;null;
2024-01-31;0;26;null;
2024-02-01;12,6;25,1;null;
2024-02-02;8;24,9;null;
2024-02-03;9,4;25,2;null;
2024-02-04;0;26,2;null;
2024-02-05;4,4;25,9;null;
2024-02-06;0;26;null;
2024-02-07;0;26,5;null;
2024-02-08;0;27,1;null;
2024-02-09;0;26,8;null;
2024-02-10;0;26,5;null;
2024-02-11;0;27,9;null;
2024-02-12;0;29,2;null;
2024-02-13;0;30;null;
2024-02-14;0;27;null;
2024-02-15;4,8;24,7;null;
2024-02-16;31,2;25,3;null;
2024-02-17;0;25,1;null;
2024-02-18;2;25,9;null;
2024-02-19;0;25,6;null;
2024-02-20;0;25,1;null;
2024-02-21;0;25,4;null;
2024-02-22;null;26,2;null;
2024-02-23;0;28,7;null;
2024-02-24;0;28,7;null;
2024-02-25;0;27,5;null;
2024-02-26;0;27,6;null;
2024-02-27;0;26,9;null;
2024-02-28;0;27,4;null;
2024-02-29;0;27;null;
2024-03-01;0;26,9;null;
2024-03-02;0;26,5;null;
2024-03-03;0;25,4;null;
2024-03-04;0;26,3;null;
2024-03-05;0;26,1;null;
2024-03-06;null;25,2;null;
2024-03-07;0;26;null;
2024-03-08;0;25,9;null;
2024-03-09;0;25,6;null;
2024-03-10;0;25,3;null;
2024-03-11;0;25,3;null;
2024-03-12;0;25,1;null;
2024-03-13;0;25,1;null;
2024-03-14;0;25,6;null;
2024-03-15;0;26,9;null;
2024-03-16;0;29,2;null;
2024-03-17;0;28,7;null;
2024-03-18;0;27,1;null;
2024-03-19;0;27,4;null;
2024-03-20;0;27,1;null;
2024-03-21;0;30,7;null;
2024-03-22;0;25,4;null;
2024-03-23;0;24,2;null;
2024-03-24;0;22,7;null;
2024-03-25;0;23,9;null;
2024-03-26;0;23,9;null;
2024-03-27;0;23,1;null;
2024-03-28;2;23,4;null;
2024-03-29;2,8;24,5;null;
2024-03-30;4;24,2;null;
2024-03-31;2;24,3;null;
2024-04-01;0;23,8;null;
2024-04-02;0;24,8;null;
2024-04-03;0;24,3;null;
2024-04-04;0;24,4;null;
2024-04-05;0;24,9;null;
2024-04-06;0;24,3;null;
2024-04-07;3,8;24,2;null;
2024-04-08;6;24,6;null;
2024-04-09;0;24,7;null;
2024-04-10;0;24,5;null;
2024-04-11;0;24,8;null;
2024-04-12;0;24,9;null;
2024-04-13;0;25,2;null;
2024-04-14;0;23,8;null;
2024-04-15;0;24,2;null;
2024-04-16;0;24,7;null;
2024-04-17;0;24,7;null;
2024-04-18;3;21,2;null;
2024-04-19;0;21,6;null;
2024-04-20;0;21,1;null;
2024-04-21;0;21,8;null;
2024-04-22;0;22,8;null;
2024-04-23;0;24,1;null;
2024-04-24;0;25,1;null;
2024-04-25;0;23,9;null;
2024-04-26;0;24,5;null;
2024-04-27;0;25,5;null;
2024-04-28;0;28,4;null;
2024-04-29;0;24,4;null;
2024-04-30;0;24,9;null;
2024-05-01;0;27,4;null;
2024-05-02;0;28,7;null;
2024-05-03;0;25,2;null;
2024-05-04;0;25;null;
2024-05-05;0;26,2;null;
2024-05-06;0;25,6;null;
2024-05-07;0;27,4;null;
2024-05-08;0;27,3;null;
2024-05-09;0;27,5;null;
2024-05-10;0;24,1;null;
2024-05-11;2;25,9;null;
2024-05-12;0;26,7;null;
2024-05-13;0;27,4;null;
2024-05-14;0;24,4;null;
2024-05-15;2,8;22;null;
2024-05-16;4;22,7;null;
2024-05-17;0;26,8;null;
2024-05-18;0;24,6;null;
2024-05-19;0;23,7;null;
2024-05-20;2;24;null;
2024-05-21;4,6;23;null;
2024-05-22;2;22,9;null;
2024-05-23;0;24,2;null;
2024-05-24;0;24,8;null;
2024-05-25;0;22,9;null;
2024-05-26;12,8;20,2;null;
2024-05-27;10,4;20;null;
2024-05-28;2,6;22,7;null;
2024-05-29;4;21,8;null;
2024-05-30;0;21,5;null;
2024-05-31;2;20,8;null;
2024-06-01;6;20,9;null;
2024-06-02;0;21,6;null;
2024-06-03;0;23,3;null;
2024-06-04;0;22,5;null;
2024-06-05;3,4;21,5;null;
2024-06-06;2;20,8;null;
2024-06-07;0;21,9;null;
2024-06-08;0;22;null;
2024-06-09;2;22,9;null;
2024-06-10;0;23;null;
2024-06-11;0;23,8;null;
2024-06-12;0;21,6;null;
2024-06-13;0;23,1;null;
2024-06-14;0;22,9;null;
2024-06-15;0;23,7;null;
2024-06-16;0;24,9;null;
2024-06-17;0;24,3;null;
2024-06-18;0;23,9;null;
2024-06-19;0;22,2;null;
2024-06-20;0;23,5;null;
2024-06-21;0;21,5;null;
2024-06-22;0;23,5;null;
2024-06-23;0;26,1;null;
2024-06-24;0;27,2;null;
2024-06-25;0;23,8;null;
2024-06-26;0;25;null;
2024-06-27;0;23,5;null;
2024-06-28;0;24,3;null;
2024-06-29;0;23,8;null;
2024-06-30;0;19,3;null;
2024-07-01;0;18;null;
2024-07-02;0;19,4;null;
2024-07-03;0;22,1;null;
2024-07-04;0;24,3;null;
2024-07-05;0;22;null;
2024-07-06;0;21,2;null;
2024-07-07;0;21,3;null;
2024-07-08;0;21,3;null;
2024-07-09;0;20,4;null;
2024-07-10;0;21,9;null;
2024-07-11;0;21,1;null;
2024-07-12;0;21,1;null;
2024-07-13;0;20,6;null;
2024-07-14;0;21,6;null;
2024-07-15;0;20;null;
2024-07-16;0;19,1;null;
2024-07-17;0;20,3;null;
2024-07-18;0;19,2;null;
2024-07-19;0;20;null;
2024-07-20;0;18,4;null;
2024-07-21;0;19,2;null;
2024-07-22;0;19,2;null;
2024-07-23;0;19,7;null;
2024-07-24;0;19,1;null;
2024-07-25;0;21,1;null;
2024-07-26;0;22,6;64,2;
2024-07-27;0;22,2;67;
2024-07-28;0;22,9;70,2;
2024-07-29;0;20,6;85,8;
2024-07-30;0;19,9;86,7;
2024-07-31;16,8;20;85;
2024-08-01;0;20,9;77,3;
2024-08-02;0;20,7;76,5;
2024-08-03;0;22,2;74,8;
2024-08-04;0;24,7;68,9;
2024-08-05;0;24,7;65,5;
2024-08-06;0;24,2;69,3;
2024-08-07;0;25,6;52,1;
2024-08-08;0;25,6;56,7;
2024-08-09;0;22,2;84,5;
2024-08-10;30,6;18,6;83,4;
2024-08-11;13,4;18,2;71,5;
2024-08-12;0;18,1;70,9;
2024-08-13;0;17,6;60,2;
2024-08-14;0;17,2;74,5;
2024-08-15;2;20,1;75,6;
2024-08-16;0;22,2;76,5;
2024-08-17;2;23,8;68;
2024-08-18;0;22,9;69,3;
2024-08-19;0;23,3;70,2;
2024-08-20;0;22,1;73,2;
2024-08-21;0;21,7;81,7;
