Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;,2;22,9;87;
2024-01-02;,8;24,4;86,9;
2024-01-03;,6;26;87,1;
2024-01-04;42,6;24,4;90,6;
2024-01-05;4;24,7;91,8;
2024-01-06;7;25,1;85,4;
2024-01-07;,2;26;81;
2024-01-08;0;28,3;76,6;
2024-01-09;0;29,1;78,4;
2024-01-10;0;28,5;79,7;
2024-01-11;0;28,6;79,6;
2024-01-12;6;26,3;89,3;
2024-01-13;22,8;25,2;93;
2024-01-14;162,2;25,3;93;
2024-01-15;,6;27,9;79,2;
2024-01-16;0;29,8;72,3;
2024-01-17;0;29,7;78,7;
2024-01-18;7;27,8;86,5;
2024-01-19;4,2;26,9;90,7;
2024-01-20;0;28,2;81,4;
2024-01-21;35,8;26,3;86,8;
2024-01-22;33,8;24,3;92,2;
2024-01-23;9,4;21,9;94;
2024-01-24;37,6;21,2;91,5;
2024-01-25;6,4;23,9;90,1;
2024-01-26;16,4;22,9;92,4;
2024-01-27;4,4;23,7;89,1;
2024-01-28;1,6;24,3;90,8;
2024-01-29;84,4;25,5;84,1;
2024-01-30;,2;27;83,4;
2024-01-31;,2;25,6;88;
2024-02-01;12,8;24,8;82,5;
2024-02-02;1,6;24,1;91,5;
2024-02-03;5;26,2;85,7;
2024-02-04;0;26;88;
2024-02-05;4,8;25,5;84,1;
2024-02-06;1;26,2;82,8;
2024-02-07;,2;26,5;80,4;
2024-02-08;0;25,9;85,5;
2024-02-09;20,8;26;79,8;
2024-02-10;,6;26;79,7;
2024-02-11;0;28,2;72,5;
2024-02-12;,2;31,9;50,6;
2024-02-13;0;29,3;71,2;
2024-02-14;0;27,7;71;
2024-02-15;4;24,4;95,3;
2024-02-16;21,2;24,7;87,9;
2024-02-17;0;25,1;82,5;
2024-02-18;,4;26,3;83,5;
2024-02-19;,4;25,3;88,3;
2024-02-20;16;24,6;91,9;
2024-02-21;6,2;25,5;91,2;
2024-02-22;2,2;26,5;84,1;
2024-02-23;0;27,8;80,9;
2024-02-24;0;28,6;77;
2024-02-25;31;26,8;86,1;
2024-02-26;,8;26,4;87,8;
2024-02-27;,4;27;84,5;
2024-02-28;0;28,1;86;
2024-02-29;0;27,7;82,5;
2024-03-01;0;27,5;82,9;
2024-03-02;,4;26,1;79,8;
2024-03-03;,2;25,2;79,9;
2024-03-04;,2;26,2;78;
2024-03-05;0;27,4;80,3;
2024-03-06;30,2;25,1;91,2;
2024-03-07;16;25,9;88,6;
2024-03-08;17,2;26,4;87;
2024-03-09;1,2;27,2;88,3;
2024-03-10;3,8;26,8;91,3;
2024-03-11;5,2;25,9;87,8;
2024-03-12;,2;25,1;85,5;
2024-03-13;0;25,2;87;
2024-03-14;0;26,5;83,5;
2024-03-15;0;27,6;81,7;
2024-03-16;0;28,8;79,1;
2024-03-17;0;29,8;78,2;
2024-03-18;0;28,3;83;
2024-03-19;0;27,7;86,3;
2024-03-20;24,6;27,1;86,9;
2024-03-21;3,6;29,3;77,3;
2024-03-22;2,4;24,9;94;
2024-03-23;151,2;22,2;95,1;
2024-03-24;22,6;22,1;96,5;
2024-03-25;19,4;24,2;89,6;
2024-03-26;17,6;23,1;91,8;
2024-03-27;3,2;22,8;92,3;
2024-03-28;2;23,2;94,9;
2024-03-29;5,2;24,2;94,8;
2024-03-30;3,6;24,4;93,3;
2024-03-31;4,4;24,3;83;
2024-04-01;,4;23,9;83,9;
2024-04-02;0;24,9;84,8;
2024-04-03;0;25;79,2;
2024-04-04;0;25,8;81,2;
2024-04-05;0;26,3;81,2;
2024-04-06;0;25,4;81;
2024-04-07;0;23,9;82,3;
2024-04-08;0;24,7;86,2;
2024-04-09;0;25,2;85;
2024-04-10;0;25,5;81,6;
2024-04-11;0;25,6;82,6;
2024-04-12;0;25,1;84,8;
2024-04-13;4,2;null;93,2;
2024-04-14;null;null;null;
2024-04-15;null;null;null;
2024-04-16;null;null;null;
2024-04-17;null;null;null;
2024-04-18;null;null;null;
2024-04-19;null;null;null;
2024-04-20;null;null;null;
2024-04-21;null;null;null;
2024-04-22;null;null;null;
2024-04-23;null;null;null;
2024-04-24;null;null;null;
2024-04-25;null;null;null;
2024-04-26;null;null;null;
2024-04-27;null;null;null;
2024-04-28;null;null;null;
2024-04-29;null;null;null;
2024-04-30;null;null;null;
2024-05-01;null;null;null;
2024-05-02;null;null;null;
2024-05-03;null;null;null;
2024-05-04;null;null;null;
2024-05-05;null;null;null;
2024-05-06;null;null;null;
2024-05-07;null;null;null;
2024-05-08;null;null;null;
2024-05-09;null;null;null;
2024-05-10;null;null;null;
2024-05-11;null;null;null;
2024-05-12;null;null;null;
2024-05-13;null;null;null;
2024-05-14;null;null;null;
2024-05-15;null;null;null;
2024-05-16;null;null;null;
2024-05-17;null;null;null;
2024-05-18;null;null;null;
2024-05-19;null;null;null;
2024-05-20;null;null;null;
2024-05-21;null;null;null;
2024-05-22;null;null;null;
2024-05-23;null;null;null;
2024-05-24;null;null;null;
2024-05-25;null;null;null;
2024-05-26;null;null;null;
2024-05-27;null;null;null;
