Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;4,6;21,8;89,9;
2024-01-02;8,4;24,2;82,1;
2024-01-03;1;25,6;85,4;
2024-01-04;26,6;23,5;94,1;
2024-01-05;18,2;25,9;81,9;
2024-01-06;24,2;26,9;76,2;
2024-01-07;0;27,2;71,5;
2024-01-08;0;28,5;71,5;
2024-01-09;0;29,1;70,4;
2024-01-10;0;27,8;75,2;
2024-01-11;2;28,9;73,5;
2024-01-12;0;29;70,7;
2024-01-13;3,6;26,9;82,6;
2024-01-14;3;26,7;82,5;
2024-01-15;0;27,4;77,8;
2024-01-16;0;29,4;72,7;
2024-01-17;0;30,5;68,7;
2024-01-18;0;29,8;65,5;
2024-01-19;0;28,6;71;
2024-01-20;0;30,1;63,3;
2024-01-21;17,8;26,4;84,1;
2024-01-22;2,2;26,3;80,5;
2024-01-23;2,6;25,6;79,2;
2024-01-24;18,8;23,4;83,5;
2024-01-25;2;26,7;77,1;
2024-01-26;8,6;26,9;75,9;
2024-01-27;2;25,5;81,8;
2024-01-28;4;25,8;84;
2024-01-29;15;26,6;77,4;
2024-01-30;0;28,4;74,4;
2024-01-31;5,6;26,4;85,3;
2024-02-01;7,4;26,2;77,6;
2024-02-02;4;28,1;73,5;
2024-02-03;null;null;null;
2024-02-04;null;null;58,3;
2024-02-05;null;null;null;
2024-02-06;null;null;null;
2024-02-07;null;null;null;
2024-02-08;null;null;null;
2024-02-09;null;null;null;
2024-02-10;null;null;null;
2024-02-11;null;null;null;
2024-02-12;null;null;null;
2024-02-13;null;null;null;
2024-02-14;null;null;null;
2024-02-15;null;null;null;
2024-02-16;null;null;null;
2024-02-17;null;null;null;
2024-02-18;null;null;null;
2024-02-19;null;null;null;
2024-02-20;null;null;null;
2024-02-21;null;null;null;
2024-02-22;null;null;null;
2024-02-23;null;null;null;
2024-02-24;null;null;null;
2024-02-25;null;null;null;
2024-02-26;null;null;null;
2024-02-27;null;null;null;
2024-02-28;null;null;null;
2024-02-29;null;null;null;
2024-03-01;null;null;null;
2024-03-02;null;null;null;
2024-03-03;null;null;null;
2024-03-04;null;null;null;
2024-03-05;null;null;null;
2024-03-06;null;null;null;
2024-03-07;null;null;null;
2024-03-08;null;null;null;
2024-03-09;null;null;null;
2024-03-10;null;null;null;
2024-03-11;null;null;null;
2024-03-12;null;null;null;
2024-03-13;null;null;null;
2024-03-14;null;null;null;
2024-03-15;null;null;null;
2024-03-16;null;null;null;
2024-03-17;null;null;null;
2024-03-18;null;null;null;
2024-03-19;null;null;null;
2024-03-20;null;null;null;
2024-03-21;null;null;null;
2024-03-22;null;null;null;
2024-03-23;null;null;null;
2024-03-24;null;null;null;
2024-03-25;null;null;null;
2024-03-26;null;null;null;
2024-03-27;null;null;null;
2024-03-28;null;null;null;
2024-03-29;null;null;null;
2024-03-30;null;null;null;
2024-03-31;null;null;null;
2024-04-01;null;null;null;
2024-04-02;null;null;null;
2024-04-03;null;null;null;
2024-04-04;null;null;null;
2024-04-05;null;null;null;
2024-04-06;null;null;null;
2024-04-07;null;null;null;
2024-04-08;null;null;null;
2024-04-09;null;null;null;
2024-04-10;null;null;null;
2024-04-11;null;null;null;
2024-04-12;null;null;null;
2024-04-13;null;null;null;
2024-04-14;null;null;null;
2024-04-15;null;null;null;
2024-04-16;null;null;null;
2024-04-17;null;null;null;
2024-04-18;null;null;null;
2024-04-19;null;null;null;
2024-04-20;null;null;null;
2024-04-21;null;null;null;
2024-04-22;null;null;null;
2024-04-23;null;null;null;
2024-04-24;null;null;null;
2024-04-25;null;null;null;
2024-04-26;null;null;null;
2024-04-27;null;null;null;
2024-04-28;null;null;null;
2024-04-29;null;null;null;
2024-04-30;null;null;null;
2024-05-01;null;null;null;
2024-05-02;null;null;null;
2024-05-03;null;null;null;
2024-05-04;null;null;null;
2024-05-05;null;null;null;
2024-05-06;null;null;null;
2024-05-07;null;null;null;
2024-05-08;null;null;null;
2024-05-09;null;null;null;
2024-05-10;null;null;null;
2024-05-11;null;null;null;
2024-05-12;null;null;null;
2024-05-13;null;null;null;
2024-05-14;null;null;null;
2024-05-15;null;null;null;
2024-05-16;null;null;null;
2024-05-17;null;null;null;
2024-05-18;null;null;null;
2024-05-19;null;null;null;
2024-05-20;null;null;null;
2024-05-21;null;null;null;
2024-05-22;null;null;null;
2024-05-23;null;null;null;
2024-05-24;null;null;null;
2024-05-25;null;null;null;
2024-05-26;null;null;null;
2024-05-27;null;null;null;
2024-05-28;null;null;null;
2024-05-29;null;null;null;
2024-05-30;null;null;null;
2024-05-31;null;null;null;
2024-06-01;null;null;null;
2024-06-02;null;null;null;
2024-06-03;null;null;null;
2024-06-04;null;null;null;
2024-06-05;null;null;null;
2024-06-06;null;null;null;
2024-06-07;null;null;null;
2024-06-08;null;null;null;
2024-06-09;null;null;null;
2024-06-10;null;null;null;
2024-06-11;null;null;null;
2024-06-12;null;null;null;
2024-06-13;null;null;null;
2024-06-14;null;null;null;
2024-06-15;null;null;null;
2024-06-16;null;null;null;
2024-06-17;null;null;null;
2024-06-18;null;null;null;
2024-06-19;null;null;null;
2024-06-20;null;null;null;
2024-06-21;null;null;null;
2024-06-22;null;null;null;
2024-06-23;null;null;null;
2024-06-24;null;null;null;
2024-06-25;null;null;null;
2024-06-26;null;null;null;
2024-06-27;null;null;null;
2024-06-28;null;null;null;
2024-06-29;null;null;null;
2024-06-30;null;null;null;
2024-07-01;null;null;null;
2024-07-02;null;null;null;
2024-07-03;null;null;null;
2024-07-04;null;null;null;
2024-07-05;null;null;null;
2024-07-06;null;null;null;
2024-07-07;null;null;null;
2024-07-08;null;null;null;
2024-07-09;null;null;null;
2024-07-10;null;null;null;
2024-07-11;null;null;54,9;
2024-07-12;0;24;73,5;
2024-07-13;0;23,7;73;
2024-07-14;8;22,6;74,3;
2024-07-15;2;20,9;71,3;
2024-07-16;0;21,9;72,3;
2024-07-17;0;20,5;79,3;
2024-07-18;0;22,1;71,2;
2024-07-19;0;21,2;74,1;
2024-07-20;0;19,6;73;
2024-07-21;0;20,6;72,3;
2024-07-22;0;20,7;72,8;
2024-07-23;0;19,8;72;
2024-07-24;0;20;71,1;
2024-07-25;0;21,2;70,1;
2024-07-26;0;19,8;68,2;
2024-07-27;0;20,4;66,3;
2024-07-28;0;22,3;65,2;
2024-07-29;0;22,6;66,6;
2024-07-30;0;21,9;74,9;
2024-07-31;0;21,3;71,1;
2024-08-01;0;22;67,8;
2024-08-02;0;20,5;70,6;
2024-08-03;1,6;21;89,9;
2024-08-04;10,4;23,4;75,6;
