Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;,4;24,1;76;
2024-01-02;0;24,8;80,3;
2024-01-03;3,4;25,3;86,7;
2024-01-04;11,4;24,8;86,3;
2024-01-05;3,6;25,2;85;
2024-01-06;0;26;77,6;
2024-01-07;0;26;78,3;
2024-01-08;0;26,5;81,8;
2024-01-09;0;27,3;79,1;
2024-01-10;0;27,2;79,3;
2024-01-11;0;26,4;74,7;
2024-01-12;0;26,2;79,5;
2024-01-13;0;26,6;81,4;
2024-01-14;5,6;24,9;90,2;
2024-01-15;1,2;26,5;80,7;
2024-01-16;0;26,4;79,3;
2024-01-17;0;25,5;78,8;
2024-01-18;0;25,4;78;
2024-01-19;17;24,2;85,5;
2024-01-20;2,2;26,6;81,3;
2024-01-21;30,6;25,7;85;
2024-01-22;4,6;25,5;83;
2024-01-23;,6;24,6;76,3;
2024-01-24;17;22,6;88;
2024-01-25;11,2;24;88,1;
2024-01-26;24,2;24,5;86,9;
2024-01-27;0;24,7;85,2;
2024-01-28;1;25,3;85,2;
2024-01-29;27,6;25,2;84,3;
2024-01-30;0;26,8;85,2;
2024-01-31;0;26,7;86,8;
2024-02-01;15,6;25,8;78;
2024-02-02;1,4;26,3;82,4;
2024-02-03;0;26,9;83,3;
2024-02-04;0;27,4;82,1;
2024-02-05;0;27,7;80,2;
2024-02-06;0;27,4;79,6;
2024-02-07;0;27,8;77,9;
2024-02-08;0;28,6;78,2;
2024-02-09;0;28,2;77;
2024-02-10;0;27,2;76,4;
2024-02-11;,4;26,9;77,7;
2024-02-12;0;26,8;78,3;
2024-02-13;0;26,2;79,4;
2024-02-14;0;25,7;80,6;
2024-02-15;2,2;24,6;89,3;
2024-02-16;2,2;23,6;86,4;
2024-02-17;4,8;24,2;83,7;
2024-02-18;,2;26;81,3;
2024-02-19;0;26,4;79,7;
2024-02-20;0;25,5;84,2;
2024-02-21;0;26,5;84,3;
2024-02-22;,2;25,7;84,3;
2024-02-23;,2;25,6;82,7;
2024-02-24;0;26,1;81,7;
2024-02-25;0;26,1;83,5;
2024-02-26;0;26,1;83,7;
2024-02-27;2;25,5;86,6;
2024-02-28;0;26,7;79,8;
2024-02-29;0;27;84,2;
2024-03-01;0;27,1;80,7;
2024-03-02;2,2;26;72;
2024-03-03;0;26,1;74,8;
2024-03-04;0;26,8;79,5;
2024-03-05;0;27,5;82,3;
2024-03-06;2;25,6;83,5;
2024-03-07;52,6;26,1;86,6;
2024-03-08;1,8;26;88;
2024-03-09;14,2;26,7;86,1;
2024-03-10;0;26,5;82,4;
2024-03-11;0;26,2;84,4;
2024-03-12;1;26,1;77,6;
2024-03-13;0;25,7;73,3;
2024-03-14;0;26,6;75,7;
2024-03-15;0;27;78,5;
2024-03-16;0;27,2;82,4;
2024-03-17;0;27;85,5;
2024-03-18;0;26,7;85,1;
2024-03-19;0;27,3;84;
2024-03-20;0;27,2;80,3;
2024-03-21;0;27,2;78,3;
2024-03-22;,2;24,6;87,9;
2024-03-23;48,6;23,9;82,8;
2024-03-24;18;23,2;91,8;
2024-03-25;6,2;23,6;87,7;
2024-03-26;0;23,9;86,2;
2024-03-27;2;24;84,2;
2024-03-28;1,8;23,7;88,8;
2024-03-29;20,2;24,3;89,4;
2024-03-30;1,8;25;86,3;
2024-03-31;1;24,2;87,9;
2024-04-01;,8;24,3;82,3;
2024-04-02;,2;24,9;79,8;
2024-04-03;0;25;86,4;
2024-04-04;0;25,5;81,9;
2024-04-05;0;26,2;79,5;
2024-04-06;0;25;74,9;
2024-04-07;,2;24,9;83,7;
2024-04-08;,2;25,8;80,5;
2024-04-09;0;25,7;84,5;
2024-04-10;0;26,1;85,4;
2024-04-11;0;26,6;84,4;
2024-04-12;8,6;25,2;81,7;
2024-04-13;1,6;26;80,5;
2024-04-14;0;25,1;82,3;
2024-04-15;,4;25,4;78,3;
2024-04-16;0;24,7;81,3;
2024-04-17;0;24,9;82,1;
2024-04-18;4,8;22,1;86,3;
2024-04-19;26,2;23,4;74;
2024-04-20;0;23,9;69;
2024-04-21;0;24,7;66,5;
2024-04-22;0;24,7;74,1;
2024-04-23;0;25,3;84,8;
2024-04-24;0;25,6;85,2;
2024-04-25;0;24,6;81,3;
2024-04-26;0;25;73,8;
2024-04-27;0;24,7;77,5;
2024-04-28;0;25;81,2;
2024-04-29;0;24,3;85;
2024-04-30;0;25,2;84,7;
2024-05-01;0;25,1;83,4;
2024-05-02;0;25;82,8;
2024-05-03;0;24,4;84,8;
2024-05-04;0;25,1;83;
2024-05-05;0;24,6;86,4;
2024-05-06;0;24,8;82,4;
2024-05-07;0;24,4;80,9;
2024-05-08;0;24,5;82,6;
2024-05-09;,2;24;85,4;
2024-05-10;0;23,1;89,2;
2024-05-11;0;23,1;89,1;
2024-05-12;,2;25,3;79;
2024-05-13;0;26;71;
2024-05-14;0;25,2;78,1;
2024-05-15;,2;23,6;83,6;
2024-05-16;,2;23,5;86,5;
2024-05-17;0;25;83;
2024-05-18;0;24,8;83,6;
2024-05-19;0;24,8;85,7;
2024-05-20;0;24,7;83,6;
2024-05-21;0;24,3;78,8;
2024-05-22;0;24,2;77,9;
2024-05-23;0;24,6;82,5;
2024-05-24;0;25,2;80,7;
2024-05-25;0;24,3;78,2;
2024-05-26;0;21,6;82,7;
2024-05-27;0;21,6;88,9;
2024-05-28;0;24;85,3;
2024-05-29;0;22,6;72,1;
2024-05-30;0;22;64;
2024-05-31;null;null;76,8;
2024-06-01;null;null;70,5;
2024-06-02;0;null;null;
2024-06-03;null;null;null;
2024-06-04;null;null;null;
2024-06-05;null;null;null;
2024-06-06;null;null;null;
2024-06-07;null;null;null;
2024-06-08;null;null;null;
2024-06-09;null;null;null;
2024-06-10;null;null;null;
2024-06-11;null;null;null;
2024-06-12;null;null;77;
2024-06-13;0;23,9;78,5;
2024-06-14;0;24,4;72,8;
2024-06-15;0;24,4;73;
2024-06-16;0;24,2;75,9;
2024-06-17;0;24,4;75,5;
2024-06-18;0;24;77,2;
2024-06-19;0;24;82,7;
2024-06-20;0;24;73,8;
2024-06-21;,2;23,1;83,6;
2024-06-22;0;23,8;79,3;
2024-06-23;0;25,1;68,8;
2024-06-24;0;24,9;75,4;
2024-06-25;,2;24,2;81,8;
2024-06-26;0;24,3;80,5;
2024-06-27;0;23,9;80,5;
2024-06-28;0;24,1;80,8;
2024-06-29;0;24,4;79,4;
2024-06-30;7,8;21,1;73,8;
2024-07-01;1,2;19,7;82;
2024-07-02;7;21,2;83,3;
2024-07-03;0;23,7;76,5;
2024-07-04;0;23,8;76,8;
2024-07-05;0;24;76,9;
2024-07-06;0;23,1;71,3;
2024-07-07;0;22,6;82,1;
2024-07-08;0;22,2;80,8;
2024-07-09;0;21,9;83;
2024-07-10;0;22,6;82,9;
2024-07-11;0;22,6;86,5;
2024-07-12;0;22,8;86,5;
2024-07-13;0;22,2;85,7;
2024-07-14;0;22,4;83,6;
2024-07-15;0;21,8;81;
2024-07-16;0;21,4;78,9;
2024-07-17;0;21,4;79,8;
2024-07-18;0;21,3;80,8;
2024-07-19;0;21,5;76;
2024-07-20;,2;20,4;80,1;
2024-07-21;0;21,1;77,2;
2024-07-22;0;21,8;76,7;
2024-07-23;0;21,4;73;
2024-07-24;0;21,6;77,8;
2024-07-25;0;23,3;76,9;
2024-07-26;0;23,3;76;
2024-07-27;,2;23,2;83,3;
2024-07-28;0;24;80,8;
2024-07-29;0;22,3;81,5;
2024-07-30;0;21,3;76,8;
2024-07-31;1,2;21,7;72,9;
2024-08-01;0;22,5;64,1;
2024-08-02;0;22,5;71,8;
2024-08-03;0;23,3;74,4;
2024-08-04;0;23,4;78,6;
2024-08-05;0;23,6;80;
2024-08-06;0;23,5;79,8;
2024-08-07;0;23,9;75,9;
2024-08-08;0;23,9;78,9;
2024-08-09;0;22,9;82,8;
2024-08-10;14,6;19,6;80,9;
2024-08-11;19,4;19,9;64,3;
2024-08-12;0;20,5;65;
2024-08-13;0;20;48;
2024-08-14;0;19,7;67,9;
2024-08-15;0;22;78,9;
2024-08-16;0;22,6;82,2;
2024-08-17;null;null;83,3;
2024-08-18;0;23;80,5;
2024-08-19;null;null;74,3;
2024-08-20;null;null;75,6;
2024-08-21;null;null;77,2;
2024-08-22;0;23;81,9;
2024-08-23;2,8;24,3;75,1;
2024-08-24;0;23,4;82,5;
2024-08-25;1,2;21,3;82,6;
2024-08-26;38;17,3;82,5;
2024-08-27;2,6;19,5;59,8;
2024-08-28;0;20,6;68,3;
2024-08-29;0;22,2;71,3;
2024-08-30;0;22,7;73,7;
2024-08-31;0;22,8;80,7;
2024-09-01;0;22,9;80,5;
2024-09-02;0;22,5;82;
2024-09-03;0;22,9;73,6;
2024-09-04;0;23;82;
2024-09-05;0;23,3;84,4;
2024-09-06;0;22,9;83,5;
2024-09-07;0;23,4;83,5;
2024-09-08;0;23,6;83,1;
2024-09-09;0;23,7;82;
2024-09-10;0;24;76,9;
2024-09-11;0;24,2;76;
2024-09-12;0;24,2;77,1;
2024-09-13;0;24,2;74,4;
2024-09-14;0;24,2;74,2;
2024-09-15;0;23,7;83,1;
2024-09-16;0;23,7;81,3;
2024-09-17;0;22,3;71,4;
2024-09-18;0;22,7;65,1;
2024-09-19;0;23;70,2;
2024-09-20;0;23,4;78,8;
2024-09-21;0;24,1;82,5;
2024-09-22;3,6;23,8;83,5;
2024-09-23;0;24,2;78,3;
2024-09-24;0;23,9;79,7;
2024-09-25;0;24;80;
2024-09-26;0;23,7;79;
2024-09-27;0;23,6;79,4;
2024-09-28;,2;23,2;76,3;
2024-09-29;0;23,4;68,3;
2024-09-30;0;23,5;75,2;
2024-10-01;0;24,1;78,2;
2024-10-02;0;23,9;75,8;
2024-10-03;0;23,4;84;
2024-10-04;14;21,8;88;
2024-10-05;11;22,5;66,8;
2024-10-06;0;22,3;60,2;
2024-10-07;0;22,9;64;
2024-10-08;0;23,1;74,3;
2024-10-09;0;23,2;85,3;
2024-10-10;1;21,9;83,6;
2024-10-11;2,8;22,5;86,3;
2024-10-12;0;23,5;81;
2024-10-13;,2;22,7;81,1;
2024-10-14;0;23,2;66,1;
2024-10-15;0;23,2;70,2;
2024-10-16;0;23,4;78,1;
2024-10-17;0;22,8;82,6;
2024-10-18;0;23,2;81,8;
2024-10-19;1;21,8;86,8;
2024-10-20;32,6;21,8;89,4;
2024-10-21;17,4;23,5;87,8;
2024-10-22;0;24,1;84,6;
2024-10-23;0;24,7;83,2;
2024-10-24;0;24,5;83,3;
2024-10-25;2,6;25,9;76,8;
2024-10-26;0;26,6;77,3;
2024-10-27;6,8;23,3;76,3;
2024-10-28;1,2;22;81,3;
2024-10-29;,4;22,4;84;
2024-10-30;3,4;23,5;80,6;
2024-10-31;0;23,8;77;
2024-11-01;0;24,3;79,1;
2024-11-02;0;24,9;83,9;
2024-11-03;0;24,9;82,9;
2024-11-04;0;24,6;83,7;
2024-11-05;0;24,1;81,6;
