Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;1,4;22,1;85,9;
2024-01-02;4,2;24,5;80;
2024-01-03;0;25,6;86,6;
2024-01-04;27;24,4;92,5;
2024-01-05;20,2;25,6;82,2;
2024-01-06;2;26,2;74,2;
2024-01-07;0;26,6;74,5;
2024-01-08;0;27,6;76,4;
2024-01-09;0;27,7;77,5;
2024-01-10;20;27,8;73,2;
2024-01-11;0;27,8;68,5;
2024-01-12;0;28,5;68;
2024-01-13;0;26,9;78,4;
2024-01-14;0;26,9;79;
2024-01-15;2;28;74,6;
2024-01-16;0;28,6;72,5;
2024-01-17;0;28,4;68,3;
2024-01-18;0;27,9;68,6;
2024-01-19;0;27,9;71;
2024-01-20;0;30,5;61,8;
2024-01-21;3,6;26,5;83,3;
2024-01-22;46,6;25,3;84,4;
2024-01-23;2,6;24,5;84,1;
2024-01-24;24,4;22,5;89,3;
2024-01-25;5,4;25;85,1;
2024-01-26;2;25,9;80,3;
2024-01-27;2;25,5;82;
2024-01-28;0;25,7;80,8;
2024-01-29;0;26,6;77;
2024-01-30;0;28;76,5;
2024-01-31;0;27,1;82,2;
2024-02-01;1,8;26,8;78,5;
2024-02-02;1,6;27;76,8;
2024-02-03;0;27,3;76,8;
2024-02-04;2,2;27,4;76,9;
2024-02-05;2;27,4;74,3;
2024-02-06;0;27,2;78,4;
2024-02-07;2;26,7;78,1;
2024-02-08;0;27,1;78,8;
2024-02-09;0;27,4;74,9;
2024-02-10;4;25,9;77,6;
2024-02-11;4;27,1;71,8;
2024-02-12;0;28,2;69,2;
2024-02-13;0;28,4;70,3;
2024-02-14;0;28,6;66;
2024-02-15;3,4;25,2;86,3;
2024-02-16;5,2;26,7;77,1;
2024-02-17;2;27,5;73,2;
2024-02-18;0;27;77,4;
2024-02-19;5,6;25,5;85,3;
2024-02-20;39,8;26,4;79,3;
2024-02-21;19,2;25,2;88,3;
2024-02-22;3,6;25,4;87,5;
2024-02-23;1,2;27,2;79,7;
2024-02-24;2;27,9;76,5;
2024-02-25;0;27,1;77,9;
2024-02-26;0;27,4;75,3;
2024-02-27;0;26,8;73,4;
2024-02-28;0;28,4;69,2;
2024-02-29;0;27,3;82,4;
2024-03-01;25,8;27,4;81,1;
2024-03-02;4,4;26,1;76,2;
2024-03-03;0;25,4;73,3;
2024-03-04;0;26,5;77,8;
2024-03-05;0;28,8;72,3;
2024-03-06;0;26,8;79,9;
2024-03-07;23,6;26;85,3;
2024-03-08;4;27,3;81,4;
2024-03-09;2,8;27,4;79,9;
2024-03-10;6;26,8;84;
2024-03-11;4,4;27,2;76,8;
2024-03-12;2;26,3;75,3;
2024-03-13;1,2;26,1;75,7;
2024-03-14;0;26,1;79,7;
2024-03-15;0;27,6;76,7;
2024-03-16;0;27,9;77,6;
2024-03-17;0;29,4;73,2;
2024-03-18;0;28,5;78,7;
2024-03-19;0;28,4;76,3;
2024-03-20;0;27,9;76,1;
2024-03-21;0;29;70;
2024-03-22;1;27,7;79;
2024-03-23;108,8;22,9;93,8;
2024-03-24;74,4;23,2;91,9;
2024-03-25;27;24,9;88,3;
2024-03-26;2,4;24,1;89,6;
2024-03-27;0;24,3;83,2;
2024-03-28;2;24,9;84,7;
2024-03-29;1,4;26,4;84,5;
2024-03-30;4;26,3;85,5;
2024-03-31;4;25,6;81,7;
2024-04-01;2;25,6;75,3;
2024-04-02;0;25,7;77,7;
2024-04-03;0;26,9;77,5;
2024-04-04;0;26,5;77;
2024-04-05;0;25,9;76,6;
2024-04-06;0;25,9;75;
2024-04-07;0;24,8;74,2;
2024-04-08;0;24,9;78,9;
2024-04-09;0;26,3;78,3;
2024-04-10;0;26,4;79,9;
2024-04-11;0;26,9;78,8;
2024-04-12;1,2;25,9;81;
2024-04-13;0;25,5;76,7;
2024-04-14;3,6;24,2;85,2;
2024-04-15;2;25,7;77,7;
2024-04-16;2,2;24,8;82;
2024-04-17;0;25,6;78,4;
2024-04-18;0;23,5;83,9;
2024-04-19;6;23,1;73,4;
2024-04-20;0;24;66,5;
2024-04-21;0;23,2;72,2;
2024-04-22;0;23,6;76,8;
2024-04-23;0;25,7;80,5;
2024-04-24;2;26,9;76,8;
2024-04-25;0;26,1;77,5;
2024-04-26;0;25,1;77,6;
2024-04-27;0;24,7;76,5;
2024-04-28;0;26,2;72,3;
2024-04-29;0;25,8;77,3;
2024-04-30;0;25,4;81;
2024-05-01;0;25,3;80,8;
2024-05-02;4;26,3;75,6;
2024-05-03;0;27,3;72,3;
2024-05-04;0;25,5;79,3;
2024-05-05;2;25,2;81,5;
2024-05-06;0;25,4;80,4;
2024-05-07;0;24,9;77,6;
2024-05-08;2;26,3;78;
2024-05-09;0;26,4;77,5;
2024-05-10;2;25,2;81,4;
2024-05-11;0;26;77,1;
2024-05-12;0;26,9;74,5;
2024-05-13;2;27,7;69,1;
2024-05-14;0;25,2;77,4;
2024-05-15;0;24,2;82,4;
2024-05-16;0;24,4;79,9;
2024-05-17;0;26,2;75,6;
2024-05-18;0;26,4;71,7;
2024-05-19;0;24,7;82,1;
2024-05-20;2;24,9;74,5;
2024-05-21;0;24,7;79,8;
2024-05-22;4;22,9;81;
2024-05-23;0;24,2;79;
2024-05-24;2;25,5;72,2;
2024-05-25;0;24,2;77;
2024-05-26;0;22,3;80,1;
2024-05-27;0;21,9;86,8;
2024-05-28;0;24,4;79,7;
2024-05-29;0;22,9;80,8;
2024-05-30;0;20,6;74,5;
2024-05-31;0;19,7;77,6;
2024-06-01;0;21,6;76,5;
2024-06-02;4;21;76;
2024-06-03;0;22,1;77,9;
2024-06-04;0;22,4;81,7;
2024-06-05;0;21,8;87,9;
2024-06-06;56;21,4;84,7;
2024-06-07;2;22;83,3;
2024-06-08;2;22,2;83,8;
2024-06-09;0;21,9;80,7;
2024-06-10;2;23;74,2;
2024-06-11;0;22,4;74,9;
2024-06-12;2;21,3;79,8;
2024-06-13;2;22,3;77,7;
2024-06-14;2;23,4;72,5;
2024-06-15;0;22,9;73,2;
2024-06-16;2;23,1;76,3;
2024-06-17;0;23,6;71,8;
2024-06-18;0;23,3;73,5;
2024-06-19;0;24,4;74,9;
2024-06-20;0;24,5;71,6;
2024-06-21;2;22,6;78,1;
2024-06-22;0;22,8;77,7;
2024-06-23;2;24,5;69,8;
2024-06-24;0;24,5;71,8;
2024-06-25;0;23,4;75,8;
2024-06-26;0;24,3;77,1;
2024-06-27;0;23,7;78,3;
2024-06-28;0;24,7;77,5;
2024-06-29;0;24,8;73;
2024-06-30;0;21,6;81;
2024-07-01;0;19,8;80,8;
2024-07-02;0;21,3;80;
2024-07-03;2;22,6;76,8;
2024-07-04;0;23,3;69,4;
2024-07-05;0;21,8;72,4;
2024-07-06;2;21,5;78,1;
