Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;,2;22,8;79,6;
2024-01-02;0;24,5;83;
2024-01-03;,2;26;85;
2024-01-04;20;24,5;92,2;
2024-01-05;5;25;87,9;
2024-01-06;2;25,6;80,6;
2024-01-07;0;26;78,7;
2024-01-08;,2;27,5;76,5;
2024-01-09;0;27,8;78,3;
2024-01-10;0;27,8;76,8;
2024-01-11;1,8;28,4;68,8;
2024-01-12;,2;28,5;69,9;
2024-01-13;0;25,6;89,2;
2024-01-14;47,6;25,3;93,4;
2024-01-15;1,2;28,2;75,6;
2024-01-16;0;29,2;71,7;
2024-01-17;0;28,2;74,3;
2024-01-18;0;27,4;74,8;
2024-01-19;0;26,3;81,2;
2024-01-20;0;29,1;73,4;
2024-01-21;2;26,4;87;
2024-01-22;7,8;24,5;90,7;
2024-01-23;1,6;23,6;90,1;
2024-01-24;null;null;null;
2024-01-25;null;null;null;
2024-01-26;null;null;78,7;
2024-01-27;,2;24,8;85,6;
2024-01-28;0;24,8;88,8;
2024-01-29;41,8;24,9;88,3;
2024-01-30;0;26,5;86,9;
2024-01-31;0;25,9;89,8;
2024-02-01;2;25;88,8;
2024-02-02;21;25,5;89,5;
2024-02-03;null;null;84,7;
2024-02-04;null;null;null;
2024-02-05;null;null;null;
2024-02-06;null;null;null;
2024-02-07;null;null;null;
2024-02-08;null;null;null;
2024-02-09;null;null;null;
2024-02-10;null;null;null;
2024-02-11;null;null;null;
2024-02-12;null;null;null;
2024-02-13;null;null;null;
2024-02-14;null;null;null;
2024-02-15;null;null;null;
2024-02-16;null;null;null;
2024-02-17;null;null;null;
2024-02-18;null;null;null;
2024-02-19;null;null;null;
2024-02-20;null;null;null;
2024-02-21;null;null;null;
2024-02-22;null;null;null;
2024-02-23;null;null;null;
2024-02-24;null;null;null;
2024-02-25;null;null;null;
2024-02-26;null;null;null;
2024-02-27;null;null;null;
2024-02-28;null;null;null;
