Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;2;20,6;null;
2024-01-02;4;22,8;null;
2024-01-03;21,4;24,4;null;
2024-01-04;31,6;23;null;
2024-01-05;4,2;24;null;
2024-01-06;1;24,1;62,7;
2024-01-07;0;25,4;67,5;
2024-01-08;5,4;26;62,5;
2024-01-09;8;26,8;54,2;
2024-01-10;8;25,5;null;
2024-01-11;48;26;63,9;
2024-01-12;11,4;24,5;null;
2024-01-13;9,4;23,5;null;
2024-01-14;67,8;25,3;null;
2024-01-15;2;26,9;62,8;
2024-01-16;9,2;28;50,5;
2024-01-17;4;27;65,1;
2024-01-18;2;25,9;null;
2024-01-19;10,6;24,6;null;
2024-01-20;4,8;26,9;61,4;
2024-01-21;28,2;25,2;null;
2024-01-22;8,4;22,8;null;
2024-01-23;24,6;19,9;null;
2024-01-24;28,4;20,6;null;
2024-01-25;4;23,6;61,2;
2024-01-26;0;23,3;67,7;
2024-01-27;1,8;23,8;69,6;
2024-01-28;4;23;null;
2024-01-29;10,2;23,9;null;
2024-01-30;5,8;24,9;null;
2024-01-31;10,4;23,4;null;
2024-02-01;3,4;23,3;null;
2024-02-02;15,8;22,5;null;
2024-02-03;7;24,4;null;
2024-02-04;0;23,5;null;
2024-02-05;12;23,8;66;
2024-02-06;18,2;25,2;60,7;
2024-02-07;2;24,6;null;
2024-02-08;6,8;25,9;55,6;
2024-02-09;0;26,1;58,4;
2024-02-10;0;26,5;52,8;
2024-02-11;0;26;54,4;
2024-02-12;18,4;24,4;null;
2024-02-13;12;24,9;null;
2024-02-14;15;24,7;70,3;
2024-02-15;35,6;22,6;null;
2024-02-16;27,6;24,2;72;
2024-02-17;2;24,5;67,6;
2024-02-18;0;23,8;70,7;
2024-02-19;0;24,4;null;
2024-02-20;6;22,9;null;
2024-02-21;3;23,7;null;
2024-02-22;27;23,4;null;
2024-02-23;1,8;25,3;null;
2024-02-24;0;26,1;null;
2024-02-25;0;25,8;70,3;
2024-02-26;0;26,2;62,8;
2024-02-27;0;26,6;68,9;
2024-02-28;0;27,1;null;
2024-02-29;0;26,5;null;
2024-03-01;32,4;25,1;null;
2024-03-02;35,2;24,1;69,8;
2024-03-03;0;24,2;64,6;
2024-03-04;0;25,9;57;
2024-03-05;0;25,9;62,9;
2024-03-06;41,8;24;null;
2024-03-07;7;24,9;null;
2024-03-08;11,6;25,6;null;
2024-03-09;11,6;25,5;null;
2024-03-10;0;25,3;null;
2024-03-11;2,4;25,2;70,3;
2024-03-12;0;24,5;73,2;
2024-03-13;0;24,8;null;
2024-03-14;0;26,8;57,9;
2024-03-15;0;26,8;60;
2024-03-16;0;27,6;60,1;
2024-03-17;0;28;61,2;
2024-03-18;31;25,8;null;
2024-03-19;10;25,1;null;
2024-03-20;8,2;24,9;null;
2024-03-21;0;27,2;56;
2024-03-22;6,2;24,5;null;
2024-03-23;3,6;20,5;81,6;
2024-03-24;3,2;20,6;null;
2024-03-25;5,6;22;null;
2024-03-26;5;21,5;null;
2024-03-27;7,2;20,6;null;
2024-03-28;7,8;21,5;null;
2024-03-29;12,2;22,8;null;
2024-03-30;3,2;24,1;null;
2024-03-31;2;23,7;63,3;
2024-04-01;0;23,5;58,1;
2024-04-02;0;23,8;69,2;
2024-04-03;0;24,6;61,1;
2024-04-04;0;25,2;61,3;
2024-04-05;0;25,3;52,6;
2024-04-06;0;23,6;60;
2024-04-07;0;23,4;65,5;
2024-04-08;0;23,9;null;
2024-04-09;0;24,5;null;
2024-04-10;0;24,2;null;
2024-04-11;0;24,6;null;
2024-04-12;0;24,8;69,6;
2024-04-13;0;24,4;66,9;
2024-04-14;0;23,7;67,6;
2024-04-15;0;24,2;null;
2024-04-16;4;24,9;null;
2024-04-17;2;24,3;null;
2024-04-18;1;21,2;null;
2024-04-19;6;20;72,3;
2024-04-20;0;20,9;66,9;
2024-04-21;0;21,8;65,9;
2024-04-22;0;21,4;53,7;
2024-04-23;0;22,1;52,7;
2024-04-24;0;22,7;56,6;
2024-04-25;2;23,4;68,2;
2024-04-26;0;23,9;null;
2024-04-27;0;24,4;null;
2024-04-28;0;24,3;null;
2024-04-29;0;24,7;61,6;
2024-04-30;0;24,1;54,6;
2024-05-01;0;24,2;58,2;
2024-05-02;0;24,1;59,9;
2024-05-03;0;24,9;55,1;
2024-05-04;0;24,5;62,7;
2024-05-05;0;23,8;null;
2024-05-06;2;23,1;null;
2024-05-07;0;23,4;null;
2024-05-08;2;23,5;53,2;
2024-05-09;0;23;54,2;
2024-05-10;0;23,1;59,7;
2024-05-11;0;23,2;null;
2024-05-12;0;23,4;57,5;
2024-05-13;0;23,5;46,2;
2024-05-14;0;22,1;65,7;
2024-05-15;0;22,5;73,6;
2024-05-16;0;22;77,6;
2024-05-17;0;23,2;null;
2024-05-18;2;23,6;58,5;
2024-05-19;0;23,6;63,3;
2024-05-20;0;23,7;63,3;
2024-05-21;0;22,4;null;
2024-05-22;0;23;null;
2024-05-23;2;21,7;null;
2024-05-24;0;21,6;48,9;
2024-05-25;0;20,9;62,5;
2024-05-26;7;18,2;null;
2024-05-27;14,8;18,1;null;
2024-05-28;1,4;21,3;null;
2024-05-29;0;19,7;null;
2024-05-30;0;17,7;64,5;
2024-05-31;0;16,6;61,5;
2024-06-01;0;18,8;59,7;
2024-06-02;2;18,1;null;
2024-06-03;0;19;60,5;
2024-06-04;0;19,5;70,5;
2024-06-05;0;20,2;null;
2024-06-06;0;19,5;null;
2024-06-07;0;18,6;59,3;
2024-06-08;0;19,5;58,8;
2024-06-09;2;19,6;null;
2024-06-10;2;19;null;
2024-06-11;0;19,7;55,2;
2024-06-12;0;19,9;58,5;
2024-06-13;2;18,4;null;
2024-06-14;0;17,7;54,2;
2024-06-15;2;19,1;57,8;
2024-06-16;0;19;54,6;
2024-06-17;2;18,9;49,2;
2024-06-18;2;18,6;49,3;
2024-06-19;0;18,3;51,3;
2024-06-20;0;19,2;51,4;
2024-06-21;0;18,9;56,1;
2024-06-22;0;18,9;54,5;
2024-06-23;2;19,8;51,5;
2024-06-24;0;20,3;55;
2024-06-25;0;20,6;63,7;
2024-06-26;0;22,6;66,8;
2024-06-27;0;20,6;65,8;
