Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;9,4;13,7;null;
2024-01-02;4,6;14,9;null;
2024-01-03;1,8;15,8;null;
2024-01-04;64,6;15,8;null;
2024-01-05;11;15,1;null;
2024-01-06;15;15,4;null;
2024-01-07;0;17,6;95,9;
2024-01-08;,4;18,5;null;
2024-01-09;0;19;null;
2024-01-10;,2;18,9;null;
2024-01-11;23,2;18,6;null;
2024-01-12;0;18,2;null;
2024-01-13;24,4;17,1;null;
2024-01-14;101,2;17,1;null;
2024-01-15;3,4;17,2;null;
2024-01-16;3,8;19,5;null;
2024-01-17;0;19,9;null;
2024-01-18;23,6;19,3;null;
2024-01-19;19,4;18,2;null;
2024-01-20;5,4;19,6;null;
2024-01-21;48,2;16,8;null;
2024-01-22;35;15;null;
2024-01-23;11,6;13,2;null;
2024-01-24;35,8;14,1;null;
2024-01-25;4,2;15,4;null;
2024-01-26;17,8;14,5;null;
2024-01-27;12,8;16,4;null;
2024-01-28;2;16,9;null;
2024-01-29;16,6;17,5;92,4;
2024-01-30;,2;18,4;89,2;
2024-01-31;,2;16,8;null;
2024-02-01;24,2;16,2;94,2;
2024-02-02;3;16,2;null;
2024-02-03;,6;17,2;89,9;
2024-02-04;,2;16,6;98,6;
2024-02-05;15;17,4;89,6;
2024-02-06;10,8;17;94,1;
2024-02-07;3,8;17,5;94,3;
2024-02-08;0;16,9;96,6;
2024-02-09;20,2;16,9;94,4;
2024-02-10;18,8;17,1;85,9;
2024-02-11;,6;16,2;null;
2024-02-12;0;17,9;92,5;
2024-02-13;0;18,8;88,8;
2024-02-14;29;18,1;86,8;
2024-02-15;3,8;15,6;99,9;
2024-02-16;55,6;14,4;98,3;
2024-02-17;1,4;16,1;94,7;
2024-02-18;2,8;16,3;92,4;
2024-02-19;23,8;16,4;93;
2024-02-20;1,2;15,7;95,8;
2024-02-21;11,2;16,3;95,2;
2024-02-22;5;16,2;98,5;
2024-02-23;6,6;16,8;97,9;
2024-02-24;,8;17,8;93,9;
2024-02-25;5,2;17,8;92;
2024-02-26;0;17,4;94,2;
2024-02-27;1,8;17,8;94;
2024-02-28;0;19,3;92;
2024-02-29;,2;19,1;93,4;
2024-03-01;0;18,1;93,4;
2024-03-02;12,4;15;96,4;
2024-03-03;,4;16,6;83;
2024-03-04;0;17,8;85,1;
2024-03-05;0;18,6;null;
2024-03-06;70,2;16,9;null;
2024-03-07;,8;16,9;null;
2024-03-08;2;17,1;null;
2024-03-09;,2;18;null;
2024-03-10;5,4;17,5;null;
2024-03-11;11,8;15,4;null;
2024-03-12;2,2;15,7;null;
2024-03-13;,4;18,2;94,4;
2024-03-14;0;18,9;91,3;
2024-03-15;0;18,9;90,6;
2024-03-16;0;19,6;null;
2024-03-17;,2;20,7;null;
2024-03-18;0;20,2;null;
2024-03-19;0;19,5;null;
2024-03-20;52;18;null;
2024-03-21;14;18,6;null;
2024-03-22;8,8;17;null;
2024-03-23;134;13,1;null;
2024-03-24;15;14,8;null;
2024-03-25;8,8;15,6;null;
2024-03-26;79,8;15;null;
2024-03-27;3,8;14,5;null;
2024-03-28;2,8;14,6;null;
2024-03-29;10,8;15,7;null;
2024-03-30;5;16;null;
2024-03-31;,8;14,9;null;
2024-04-01;,2;15,9;null;
2024-04-02;0;16,3;null;
2024-04-03;0;18;null;
2024-04-04;0;18;null;
2024-04-05;,2;17,1;null;
2024-04-06;0;15,9;null;
2024-04-07;0;14,8;null;
2024-04-08;0;16;null;
2024-04-09;,2;15,9;null;
2024-04-10;0;16,7;null;
2024-04-11;0;16,9;null;
2024-04-12;0;15,3;null;
2024-04-13;8,6;15,9;null;
2024-04-14;0;15,4;null;
2024-04-15;,2;15,6;null;
2024-04-16;0;15,8;null;
2024-04-17;0;17,1;null;
2024-04-18;6,6;13,1;null;
2024-04-19;3;12,1;null;
2024-04-20;,4;12,6;null;
2024-04-21;,4;12,8;null;
2024-04-22;,6;14,6;null;
2024-04-23;0;16;null;
2024-04-24;0;16,8;null;
2024-04-25;0;16,1;null;
2024-04-26;,2;16;null;
2024-04-27;,2;15,7;null;
2024-04-28;,2;17,1;null;
2024-04-29;,2;17,3;97,9;
2024-04-30;0;17,5;92,6;
2024-05-01;,2;17,4;94,6;
2024-05-02;0;17,6;93,2;
2024-05-03;,2;18,5;89;
2024-05-04;0;18,9;72;
2024-05-05;0;19,3;59,6;
2024-05-06;0;15,4;79,7;
2024-05-07;,2;15,6;86,5;
2024-05-08;,4;15,3;84,8;
2024-05-09;0;16,2;77,5;
2024-05-10;,2;15,6;77,3;
2024-05-11;,4;16,8;77,3;
2024-05-12;,4;17,5;75,5;
2024-05-13;0;18,1;67,2;
2024-05-14;0;17,2;66,8;
2024-05-15;0;14,5;80,2;
2024-05-16;0;15,2;80,3;
2024-05-17;,2;16,8;67,3;
2024-05-18;0;17,2;64,2;
2024-05-19;0;16;69,6;
2024-05-20;0;16;72,1;
2024-05-21;,6;14,6;80,3;
2024-05-22;,4;13,9;76,6;
2024-05-23;,4;14,3;74,2;
2024-05-24;,2;15,6;72,5;
2024-05-25;0;13,3;77,4;
2024-05-26;3,2;11,3;79,8;
2024-05-27;22,2;12,4;79,2;
2024-05-28;,8;14,5;83,3;
2024-05-29;,4;13,1;82;
2024-05-30;1,4;8,6;83,3;
2024-05-31;,2;8,6;86,8;
2024-06-01;,2;9,9;84,1;
2024-06-02;,6;11,6;84;
2024-06-03;0;13,7;75,6;
2024-06-04;0;12,5;83,1;
2024-06-05;1,2;11,8;89,5;
2024-06-06;0;13,1;78,4;
2024-06-07;,2;13,6;74,6;
2024-06-08;0;13,8;78,8;
2024-06-09;0;13,9;69,3;
2024-06-10;0;14,9;72,7;
2024-06-11;0;15,1;68,7;
2024-06-12;0;15,1;51,4;
2024-06-13;0;13,7;51,5;
2024-06-14;0;13,1;58,5;
2024-06-15;0;13,9;51,8;
2024-06-16;0;14;54,5;
2024-06-17;0;13,6;54,8;
2024-06-18;0;13,2;54,5;
2024-06-19;0;13,8;53,7;
2024-06-20;0;13,7;53,3;
2024-06-21;0;12,9;52,4;
2024-06-22;0;13;56,3;
2024-06-23;0;13,3;61,4;
2024-06-24;0;14,1;59,7;
2024-06-25;0;15,9;55,6;
2024-06-26;0;14,5;65,8;
2024-06-27;0;15,8;55,3;
2024-06-28;0;14,4;63,9;
2024-06-29;0;15,3;56,3;
2024-06-30;1,4;11,4;71,7;
2024-07-01;5,8;10,8;70,2;
2024-07-02;11,6;12,7;60;
2024-07-03;,2;13,1;63,8;
2024-07-04;0;14;54,3;
2024-07-05;0;14,2;47,9;
2024-07-06;0;13,8;54,5;
2024-07-07;0;13;61,2;
2024-07-08;0;14;62,1;
2024-07-09;0;13,3;70,3;
2024-07-10;5,4;13,8;67,8;
2024-07-11;0;15,8;61,8;
2024-07-12;0;15,2;63,6;
2024-07-13;2;12;75,2;
2024-07-14;,6;11,8;71,3;
2024-07-15;0;13;61,7;
2024-07-16;0;12;68,5;
2024-07-17;0;12,4;64,5;
2024-07-18;0;12,6;62,1;
2024-07-19;,2;11,2;65,7;
2024-07-20;0;12,7;50,3;
2024-07-21;0;13;49;
2024-07-22;0;13,6;46;
2024-07-23;0;13;30,9;
2024-07-24;0;12;50,7;
2024-07-25;0;11,6;54,9;
2024-07-26;0;12,8;51,1;
2024-07-27;0;12,9;52,4;
2024-07-28;0;14,5;53,6;
2024-07-29;0;15,4;49,1;
2024-07-30;0;9,7;71,5;
2024-07-31;5;10,6;68,4;
2024-08-01;,2;11,7;60,6;
2024-08-02;,2;13,2;52,3;
2024-08-03;0;13,9;51,1;
2024-08-04;,4;13,7;64;
2024-08-05;0;14,9;54,8;
2024-08-06;0;15,1;55;
2024-08-07;0;14,4;48,2;
2024-08-08;0;15,6;45,4;
2024-08-09;0;14,9;52,9;
2024-08-10;16,8;7,7;71,5;
2024-08-11;22,4;7,4;57,2;
2024-08-12;,2;10;50,2;
2024-08-13;0;4,5;64,2;
2024-08-14;0;10,1;53,4;
2024-08-15;0;13,9;51,8;
2024-08-16;0;16,1;42;
2024-08-17;0;18,2;26;
2024-08-18;0;18,4;31,9;
2024-08-19;0;15,9;39;
2024-08-20;0;17,4;30,8;
2024-08-21;0;17;31,3;
2024-08-22;0;15,9;49,9;
2024-08-23;0;16,1;54,3;
2024-08-24;0;16,7;51,1;
2024-08-25;2,2;11,7;62,8;
2024-08-26;32,2;5;78;
2024-08-27;,8;7,7;60,5;
2024-08-28;,4;9,7;66,4;
2024-08-29;0;12,7;50,6;
2024-08-30;0;17,2;28,1;
2024-08-31;0;16,2;44;
2024-09-01;0;16,2;41;
2024-09-02;0;18,8;32,2;
2024-09-03;0;18,6;40,4;
2024-09-04;0;18,4;36,4;
2024-09-05;0;19,7;35,3;
2024-09-06;0;14,7;68,5;
2024-09-07;0;19,1;49,5;
2024-09-08;0;19,9;38,5;
2024-09-09;0;17,6;45,1;
2024-09-10;0;17,7;37,8;
2024-09-11;0;18,1;38,5;
2024-09-12;0;18,3;35,5;
2024-09-13;0;17,6;40,8;
2024-09-14;0;16,7;45,9;
2024-09-15;0;14,7;61,2;
2024-09-16;0;14;67,7;
2024-09-17;7,2;10,4;77;
2024-09-18;4,2;10,6;76;
2024-09-19;,2;13,8;68,2;
2024-09-20;0;15,9;63,1;
2024-09-21;0;16,5;63,1;
2024-09-22;7;15,4;62,3;
2024-09-23;0;17,2;58,3;
2024-09-24;0;17,9;56,6;
2024-09-25;0;17,7;49,7;
2024-09-26;0;17,9;50,3;
2024-09-27;0;17,5;53,8;
2024-09-28;2,2;11,5;77;
2024-09-29;,2;14,2;71,1;
2024-09-30;0;14,6;64,1;
2024-10-01;0;16,7;60,1;
2024-10-02;0;19,5;47,1;
2024-10-03;0;15,9;66,8;
2024-10-04;3,8;12,5;77,5;
2024-10-05;8,4;11,2;77,6;
2024-10-06;,2;13,6;68,7;
2024-10-07;0;15,3;65;
2024-10-08;0;16,7;65,7;
2024-10-09;0;16,8;63,7;
2024-10-10;8,2;13,6;78,8;
2024-10-11;4;14,1;79,5;
2024-10-12;1,4;15,4;80,2;
2024-10-13;1;13,3;87;
