Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;1,8;21;86,5;
2024-01-02;,2;23,1;80,3;
2024-01-03;3,2;24,3;85,6;
2024-01-04;38;22,8;87;
2024-01-05;1,4;23,7;84,5;
2024-01-06;0;23,9;79,6;
2024-01-07;0;25,7;74,8;
2024-01-08;0;26,7;74,5;
2024-01-09;0;27,7;67,1;
2024-01-10;0;27,1;74,4;
2024-01-11;2;26,4;78,3;
2024-01-12;3;24,9;84,9;
2024-01-13;23;23,8;89,5;
2024-01-14;53,2;24,9;84;
2024-01-15;0;25,7;81,8;
2024-01-16;4,2;28,2;70,1;
2024-01-17;0;27,4;76,5;
2024-01-18;4,2;26;83,6;
2024-01-19;4,4;25,8;85,7;
2024-01-20;2,4;25,9;79,9;
2024-01-21;38;25;83,2;
2024-01-22;3,8;23,3;84,5;
2024-01-23;7,6;20,8;89,8;
2024-01-24;17,2;20,5;85,3;
2024-01-25;0;23,2;82,4;
2024-01-26;,2;22,1;83,1;
2024-01-27;0;22,9;84;
2024-01-28;1,4;23,5;85,7;
2024-01-29;72;24,1;83;
2024-01-30;,2;25,1;79,8;
2024-01-31;16;23,5;85;
2024-02-01;19;23;82,3;
2024-02-02;1,8;23,1;86,5;
2024-02-03;0;25,1;79;
2024-02-04;0;24,6;82;
2024-02-05;1;23,3;84,7;
2024-02-06;1;24,5;81,6;
2024-02-07;0;25,1;79,3;
2024-02-08;0;25,4;76,8;
2024-02-09;0;25,2;74,8;
2024-02-10;0;25,4;69,8;
2024-02-11;0;26,9;68,4;
2024-02-12;0;26,7;69,3;
2024-02-13;2;26,8;73;
2024-02-14;7,6;24,3;80,8;
2024-02-15;8,6;22,7;92,7;
2024-02-16;55,8;23,5;83,9;
2024-02-17;0;23;81,6;
2024-02-18;0;23,6;83,7;
2024-02-19;26,4;24,1;84;
2024-02-20;2,8;23;88,9;
2024-02-21;17,4;24,9;86,1;
2024-02-22;21,4;24;89,3;
2024-02-23;6,4;25,3;84,8;
2024-02-24;4;26,3;79,6;
2024-02-25;10,6;25,7;82,9;
2024-02-26;0;25,8;81,4;
2024-02-27;0;26,8;75,7;
2024-02-28;0;27,2;76,5;
2024-02-29;,2;26,2;82,3;
2024-03-01;,2;26,1;84,1;
2024-03-02;19,4;24,1;77,7;
2024-03-03;0;23,8;79;
2024-03-04;0;25,2;76;
2024-03-05;0;26,8;75,3;
2024-03-06;7,2;24,1;87,5;
2024-03-07;4,8;25,1;83,5;
2024-03-08;1;25,9;80,6;
2024-03-09;,6;25,9;83,4;
2024-03-10;5,6;25,6;85,2;
