Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;0;16,9;89,5;
2024-01-02;2,8;19,4;88,3;
2024-01-03;5,6;20,8;85,5;
2024-01-04;47,8;19,7;93,8;
2024-01-05;1,6;19,2;95,6;
2024-01-06;8,4;18,9;94,2;
2024-01-07;0;20,7;88,2;
2024-01-08;2;23,1;81,1;
2024-01-09;0;22,9;80,6;
2024-01-10;0;22;85,5;
2024-01-11;7,4;23,5;80,8;
2024-01-12;5,6;22,5;85,4;
2024-01-13;14,4;20,4;95,2;
2024-01-14;94,6;20,8;93,1;
2024-01-15;6;22,3;81,5;
2024-01-16;22,4;24,4;73,4;
2024-01-17;0;23,9;81,8;
2024-01-18;45,2;22,9;88,5;
2024-01-19;8;21,9;88,3;
2024-01-20;8;22,8;86,7;
2024-01-21;34,6;20,6;93,1;
2024-01-22;11;19;95,1;
2024-01-23;16,4;17,4;94,6;
2024-01-24;43,2;17,2;94,1;
2024-01-25;3;18,9;94,6;
2024-01-26;6,4;18,1;97;
2024-01-27;12,8;19;94;
2024-01-28;4;20,3;93,2;
2024-01-29;30,2;20,8;89,1;
2024-01-30;0;21,4;85,2;
2024-01-31;0;20,6;88,3;
2024-02-01;28,8;18,9;91;
2024-02-02;3,2;19,6;93,3;
2024-02-03;2;21,5;86,1;
2024-02-04;0;22;80;
2024-02-05;0;20,5;88;
2024-02-06;24,4;20;92,3;
2024-02-07;14,6;20,4;90,6;
2024-02-08;6;20,9;88,1;
2024-02-09;71,2;20,4;88,5;
2024-02-10;15,8;20,9;81;
2024-02-11;0;22,4;74,2;
2024-02-12;0;23,8;68,5;
2024-02-13;0;23,7;72,8;
2024-02-14;2,2;21,3;83,2;
2024-02-15;6,4;19,6;95,8;
2024-02-16;35,8;18,3;93,6;
2024-02-17;6;19,2;92,5;
2024-02-18;1,2;20,1;92,8;
2024-02-19;6,6;21;88,1;
2024-02-20;2,8;20,3;90;
2024-02-21;18,4;21,2;87,5;
2024-02-22;9,4;21,2;85,9;
2024-02-23;4;22,6;79,9;
2024-02-24;2;23,3;82;
2024-02-25;8,2;21,5;89,9;
2024-02-26;2;21,1;91,1;
2024-02-27;27,4;22,3;84,7;
2024-02-28;0;23,3;84,5;
2024-02-29;0;22;92,1;
2024-03-01;4;21,6;92,8;
2024-03-02;47,8;19;92,9;
2024-03-03;1,6;19,1;86,5;
2024-03-04;0;20,3;80,3;
2024-03-05;0;23,1;79,1;
2024-03-06;76,4;19,9;94,8;
2024-03-07;6,4;20,6;93,4;
2024-03-08;11,6;21;92,5;
2024-03-09;6;22,3;86,5;
2024-03-10;5,8;22;91,4;
2024-03-11;6;19,7;93,7;
2024-03-12;3,6;19,1;92;
2024-03-13;6;20,1;90,9;
2024-03-14;2;21,4;85,1;
2024-03-15;0;21,9;85;
2024-03-16;0;22,2;88;
2024-03-17;13,6;23,4;87,5;
2024-03-18;13,2;22,4;91,3;
2024-03-19;8;22,8;90,1;
2024-03-20;27,6;22,6;86,3;
2024-03-21;9,4;23,9;79,2;
2024-03-22;2,2;20,5;96,2;
2024-03-23;261,8;17;97,3;
2024-03-24;42,2;18,4;97,2;
2024-03-25;15;18,9;95,3;
2024-03-26;22,6;18,3;97,5;
2024-03-27;22,2;17,8;94,9;
2024-03-28;1,6;18,4;96;
2024-03-29;8,4;20,3;89,5;
2024-03-30;1,2;20,3;93;
2024-03-31;10,4;18,2;92,3;
2024-04-01;0;17,6;90,7;
2024-04-02;0;19,6;86,1;
2024-04-03;0;19;84,8;
2024-04-04;0;20,5;86,5;
2024-04-05;0;19,5;86,8;
2024-04-06;0;18,6;88,1;
2024-04-07;0;17,8;84,7;
2024-04-08;0;20,8;73,8;
2024-04-09;0;20;83,9;
2024-04-10;40,2;19,2;89,7;
2024-04-11;2;19,4;91,3;
2024-04-12;1;19,2;89,7;
2024-04-13;8,8;19,7;88,3;
2024-04-14;0;19,7;81,9;
2024-04-15;0;20,9;75;
2024-04-16;0;21,6;72;
2024-04-17;0;20,9;84,3;
2024-04-18;4,6;17,2;94,9;
2024-04-19;1,2;15,1;91,3;
2024-04-20;0;15,9;89,4;
2024-04-21;0;16,5;85,9;
2024-04-22;0;18,2;79,1;
2024-04-23;0;19,3;80;
2024-04-24;0;20,4;77,3;
2024-04-25;0;19,1;88,6;
2024-04-26;2,2;19,2;95,2;
2024-04-27;0;20,1;81,3;
2024-04-28;0;21,1;80,8;
2024-04-29;0;21,1;82,9;
2024-04-30;0;21,3;75,8;
2024-05-01;0;21,3;80,5;
2024-05-02;0;22;77;
2024-05-03;0;21,2;82;
2024-05-04;0;20,5;76,8;
2024-05-05;0;18,6;70,2;
2024-05-06;0;20;72,5;
2024-05-07;0;21,1;71,9;
2024-05-08;0;21,7;68,3;
2024-05-09;0;21,7;71,1;
2024-05-10;0;19,2;84,8;
2024-05-11;0;20,2;81,3;
2024-05-12;0;21,1;76;
2024-05-13;0;22,7;64,8;
2024-05-14;0;19,3;83,5;
