Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;0;23,6;76,5;
2024-01-02;0;24,4;81,5;
2024-01-03;3;25,2;88,2;
2024-01-04;18,4;25;90,8;
2024-01-05;20,2;24,3;91,9;
2024-01-06;2,4;24,1;87,5;
2024-01-07;0;24,4;84;
2024-01-08;0;26,2;84,1;
2024-01-09;0;27,6;78,9;
2024-01-10;0;28;81,1;
2024-01-11;0;28,8;77,5;
2024-01-12;1,6;26,5;86,6;
2024-01-13;47,2;24,4;98,3;
2024-01-14;100,4;25,2;88,5;
2024-01-15;0;27,2;81,7;
2024-01-16;0;29,3;72,9;
2024-01-17;0;29;79,5;
2024-01-18;6,4;27,2;85,8;
2024-01-19;1,8;27;82,9;
2024-01-20;2;28,1;80,1;
2024-01-21;8,8;26,3;84,4;
2024-01-22;23,2;23,9;90,7;
2024-01-23;12,2;21,3;94,8;
2024-01-24;55,6;22,1;87,8;
2024-01-25;12,8;23,3;85,1;
2024-01-26;3,8;23;84,3;
2024-01-27;0;24;86,1;
2024-01-28;4,8;23,3;88,5;
2024-01-29;8,6;23,8;83,7;
2024-01-30;4;25,7;82,5;
2024-01-31;0;25,5;86,2;
2024-02-01;4,4;24,3;84,6;
2024-02-02;2,4;23,4;89,8;
2024-02-03;4;24,4;86,8;
2024-02-04;0;24,7;87,1;
2024-02-05;6,8;25,3;81,1;
2024-02-06;0;25,6;79,2;
2024-02-07;0;25,8;77,9;
2024-02-08;0;26,5;77;
2024-02-09;0;27,2;78;
2024-02-10;0;27,3;74,3;
2024-02-11;0;27,3;76;
2024-02-12;7,4;26,8;80,9;
2024-02-13;0;27;78,8;
2024-02-14;5,8;26,9;78,1;
2024-02-15;27;24,4;95,5;
2024-02-16;65;25;83,9;
2024-02-17;0;24,8;80,7;
2024-02-18;0;25,2;84,8;
2024-02-19;1,8;25,1;84;
2024-02-20;0;24,9;86,4;
2024-02-21;26,8;24,6;87,6;
2024-02-22;51,8;25,3;88,8;
2024-02-23;7,6;26,9;86;
2024-02-24;0;27,7;83,3;
2024-02-25;0;27,3;85,2;
2024-02-26;8;26,1;87,5;
2024-02-27;14;26;86,4;
2024-02-28;8;27,2;86;
2024-02-29;0;26,5;87,7;
2024-03-01;6;25,8;86,6;
2024-03-02;5,4;24;87,9;
2024-03-03;2;24,9;77,7;
2024-03-04;0;25,4;76,3;
2024-03-05;2;26,1;83,7;
2024-03-06;19,2;25,5;91,5;
2024-03-07;135;25,4;95,2;
2024-03-08;25;26,2;91;
2024-03-09;24;26,2;93;
2024-03-10;2,8;27,4;86;
2024-03-11;4,8;25,3;90,3;
2024-03-12;1,2;24,5;87,6;
2024-03-13;5,4;24,4;92,5;
2024-03-14;2;25,5;87;
2024-03-15;0;26,9;83,9;
2024-03-16;0;27,7;82,9;
2024-03-17;0;28,2;81,5;
2024-03-18;12,8;26,7;88,6;
2024-03-19;1,2;27,4;87,3;
2024-03-20;0;27,7;86,8;
2024-03-21;0;28,8;81,8;
2024-03-22;13,2;25,3;86,1;
2024-03-23;5;21,8;92;
2024-03-24;15,6;21,8;96,9;
2024-03-25;8,2;23,8;89,3;
2024-03-26;4;23,6;87,9;
2024-03-27;1,6;23;91,8;
2024-03-28;6,8;22,4;97,6;
2024-03-29;12,4;24;94,4;
2024-03-30;10,2;24,3;88,7;
2024-03-31;0;23,1;84,4;
2024-04-01;2;23;80,5;
2024-04-02;0;23,9;86,3;
2024-04-03;0;23,8;83,2;
2024-04-04;0;25;80,6;
2024-04-05;0;24,9;82,4;
2024-04-06;0;24,7;79,4;
2024-04-07;35,8;23,6;91,8;
2024-04-08;1,4;24,2;88,1;
2024-04-09;8;24,9;90;
2024-04-10;1;24,3;86,8;
2024-04-11;2;24,2;87,3;
2024-04-12;8;25;85,1;
2024-04-13;5;24,5;85,3;
2024-04-14;0;24,7;86,4;
2024-04-15;0;24,9;85,3;
2024-04-16;0;25,2;84;
2024-04-17;0;25;88,3;
2024-04-18;12,8;22,9;85,1;
2024-04-19;0;21,1;82,8;
2024-04-20;0;21,2;79,5;
2024-04-21;0;22,4;82,6;
2024-04-22;0;21,5;83,3;
2024-04-23;0;22,6;76,9;
2024-04-24;0;23,6;74,6;
2024-04-25;0;23,1;90,7;
2024-04-26;15,4;23,1;93,8;
2024-04-27;0;23,9;89,9;
2024-04-28;0;25,4;78,5;
2024-04-29;0;24,5;85,8;
2024-04-30;0;24,3;86,5;
2024-05-01;0;24,7;79,1;
2024-05-02;0;25,5;74,3;
2024-05-03;0;24,5;80,4;
2024-05-04;0;24,5;84,1;
2024-05-05;0;23,7;82;
2024-05-06;0;22,7;80,5;
2024-05-07;0;23,7;78,7;
2024-05-08;0;24,7;74,7;
2024-05-09;0;24,9;73,2;
2024-05-10;0;24,4;83,6;
2024-05-11;0;24,7;81,2;
2024-05-12;0;24,7;75,1;
2024-05-13;0;24,8;71,5;
2024-05-14;0;23;83,5;
2024-05-15;0;21,7;90,9;
2024-05-16;1,2;22,1;89,2;
2024-05-17;0;24,3;80,4;
2024-05-18;0;23,7;84,3;
2024-05-19;0;24,4;85,3;
2024-05-20;0;23,6;86,1;
2024-05-21;0;22,2;87,4;
2024-05-22;2;22,9;86,3;
2024-05-23;0;22,5;84;
2024-05-24;0;22,1;79,9;
2024-05-25;9,2;21,1;86,6;
2024-05-26;9,6;19,2;95,8;
2024-05-27;8,2;19,3;98,1;
2024-05-28;14,6;21,8;85,4;
2024-05-29;2;20,7;75,4;
2024-05-30;2;18,4;77,8;
2024-05-31;0;18,8;84,3;
2024-06-01;0;19,8;82,5;
2024-06-02;0;19,8;82,6;
2024-06-03;0;20,6;85,1;
2024-06-04;0;20,6;91,1;
2024-06-05;34,8;20,4;null;
2024-06-06;0;20,5;82,1;
2024-06-07;0;20;84,8;
2024-06-08;0;20;87;
2024-06-09;0;21;85,6;
2024-06-10;0;21,4;79,8;
2024-06-11;0;21,9;78,7;
2024-06-12;0;20,7;84,6;
2024-06-13;0;20,6;82,9;
2024-06-14;0;20;76,7;
2024-06-15;0;20,9;73,5;
2024-06-16;0;21,5;75,4;
2024-06-17;0;21;72,6;
2024-06-18;0;20,3;70,9;
2024-06-19;0;19,6;74;
2024-06-20;0;20;72,7;
2024-06-21;0;19,4;77;
2024-06-22;0;20,7;77,5;
2024-06-23;0;22;73,8;
2024-06-24;0;23;71,8;
2024-06-25;0;22,8;83,7;
2024-06-26;0;22,8;88,3;
2024-06-27;0;21,4;89,1;
2024-06-28;4;22,3;83,3;
2024-06-29;0;22;81,7;
2024-06-30;3,8;18,7;89,5;
2024-07-01;4;17,7;92,4;
2024-07-02;0;19,3;84,5;
2024-07-03;0;20;83,9;
2024-07-04;0;22,1;77,3;
2024-07-05;0;20,3;83,1;
2024-07-06;0;20,3;85,2;
2024-07-07;0;20,5;84,6;
2024-07-08;0;20,9;87,1;
2024-07-09;4;19,6;97,8;
2024-07-10;12,6;20,6;86,6;
2024-07-11;0;20,8;98,1;
2024-07-12;0;21,6;88,1;
2024-07-13;2;20,4;89,4;
2024-07-14;0;20,2;89,3;
2024-07-15;0;19,7;88,7;
2024-07-16;0;20;92,8;
2024-07-17;6;20,4;85,5;
2024-07-18;0;19,6;89,9;
2024-07-19;0;19,7;81,4;
2024-07-20;0;19,5;83,1;
2024-07-21;0;18,4;81,7;
2024-07-22;0;18,6;85,4;
2024-07-23;0;18,7;86,5;
2024-07-24;0;19;81,2;
2024-07-25;0;19,4;83,4;
2024-07-26;0;20,2;80,6;
2024-07-27;0;20;79,6;
2024-07-28;0;20,4;82,5;
2024-07-29;0;19,5;92,5;
2024-07-30;0;18,7;96,9;
2024-07-31;22,6;19,5;81,9;
2024-08-01;0;21,2;85,3;
2024-08-02;0;21,3;82,3;
2024-08-03;0;20,5;74,1;
2024-08-04;0;21,4;80,5;
2024-08-05;0;22,3;78,8;
2024-08-06;0;22;79,8;
2024-08-07;0;23;72,4;
2024-08-08;0;22,6;71,5;
2024-08-09;0;21,2;86,2;
2024-08-10;20;16,9;83,4;
2024-08-11;4;14,9;78,7;
2024-08-12;0;16,3;72,1;
2024-08-13;0;14,9;71,8;
2024-08-14;0;17;78,8;
2024-08-15;0;18;85,8;
2024-08-16;0;19,8;85,8;
2024-08-17;0;21,1;62,9;
2024-08-18;0;20,6;69,9;
2024-08-19;0;20,8;77,5;
2024-08-20;0;20,6;82;
2024-08-21;3;21,9;83,5;
2024-08-22;0;21,5;81;
2024-08-23;0;23,6;68,2;
2024-08-24;0;22,6;82,2;
2024-08-25;7,2;18,2;89,3;
2024-08-26;19,8;15,4;78,4;
2024-08-27;1,6;15,9;77,2;
2024-08-28;0;17,9;79;
2024-08-29;0;19,9;82;
2024-08-30;0;19,9;84,2;
2024-08-31;0;19,9;85,1;
2024-09-01;0;21,6;80,8;
2024-09-02;0;21;77,9;
2024-09-03;2;21;88,8;
2024-09-04;0;21,9;88;
2024-09-05;0;21,6;83,6;
2024-09-06;0;22,3;84,8;
2024-09-07;0;22,7;88,8;
2024-09-08;0;22,5;85,3;
2024-09-09;0;22,2;80,7;
2024-09-10;0;22,4;83,3;
2024-09-11;0;23,9;69,2;
2024-09-12;0;25;57,1;
2024-09-13;0;22,9;73,4;
2024-09-14;0;23,3;79,7;
2024-09-15;0;21,5;86,6;
2024-09-16;1,4;21,9;78,3;
2024-09-17;0;19,3;91,9;
2024-09-18;4,8;20,3;82;
2024-09-19;0;22;79,9;
2024-09-20;0;22,6;80,6;
2024-09-21;9,8;23,1;83,9;
2024-09-22;10,4;23,3;null;
2024-09-23;0;23,3;null;
2024-09-24;0;23,8;null;
2024-09-25;0;24,3;74;
2024-09-26;0;24;72,5;
2024-09-27;0;23,5;77;
2024-09-28;0;22;76,4;
2024-09-29;4;21,5;81,8;
2024-09-30;0;23,4;78,6;
2024-10-01;0;26,1;53,6;
2024-10-02;0;25,1;71,1;
2024-10-03;0;23,7;80,4;
2024-10-04;10,4;20;90,1;
2024-10-05;4,6;20;null;
2024-10-06;4;20,7;76,3;
2024-10-07;0;22,4;75,9;
2024-10-08;0;22,8;78,9;
2024-10-09;0;22,1;84,1;
2024-10-10;5,6;21,6;null;
2024-10-11;5;24;null;
2024-10-12;4;25;69,3;
2024-10-13;0;22,5;87,1;
2024-10-14;15,6;20,7;null;
2024-10-15;2;21,4;74,9;
2024-10-16;0;22,1;77,2;
2024-10-17;0;22,3;null;
2024-10-18;0;22;null;
2024-10-19;6;20,7;null;
2024-10-20;43,4;20,4;null;
2024-10-21;4,4;22,4;null;
2024-10-22;0;23,9;null;
2024-10-23;0;24,8;null;
2024-10-24;45,8;24,4;null;
2024-10-25;11,6;26,4;75,2;
2024-10-26;0;25,8;66,6;
2024-10-27;1,4;21;null;
2024-10-28;10;20,7;null;
2024-10-29;1,2;22;null;
2024-10-30;4;23,2;72,8;
2024-10-31;2;22,8;70,7;
2024-11-01;3;23,6;72,9;
2024-11-02;0;24,3;75,5;
2024-11-03;0;24,8;null;
2024-11-04;1;23,9;null;
2024-11-05;4;25,4;75,3;
2024-11-06;0;26,2;75,8;
2024-11-07;1,2;25,6;null;
2024-11-08;1;24,1;null;
2024-11-09;32,2;23;79,7;
2024-11-10;2;21,6;77,9;
2024-11-11;0;22,7;76,9;
2024-11-12;0;25;67,9;
2024-11-13;16,8;21,1;86,8;
2024-11-14;8;20,8;76,2;
2024-11-15;6;21,7;null;
2024-11-16;13;21,6;null;
2024-11-17;8;22,8;74,4;
2024-11-18;0;23,1;79,5;
2024-11-19;0;23,4;82;
2024-11-20;0;24,1;79,2;
2024-11-21;0;24,2;null;
2024-11-22;38,4;21,9;null;
2024-11-23;18,4;20,8;null;
2024-11-24;3,8;20,9;81,4;
2024-11-25;2,6;21,9;73,9;
2024-11-26;0;23,3;70,5;
2024-11-27;0;25,5;66,5;
2024-11-28;0;27,1;70,3;
2024-11-29;10,2;24,6;null;
2024-11-30;4;24,7;null;
2024-12-01;2;24,8;null;
2024-12-02;2;25,2;null;
2024-12-03;22;24,6;null;
2024-12-04;24;22,6;null;
2024-12-05;10;22,6;null;
2024-12-06;2,2;25,4;null;
2024-12-07;0;27,8;63,4;
2024-12-08;0;26,4;78,8;
2024-12-09;6,2;24,7;null;
2024-12-10;27,4;25;null;
2024-12-11;15,6;22,4;88;
2024-12-12;0;23,2;72,9;
2024-12-13;5,2;23,8;77,2;
2024-12-14;2;24,3;78,1;
2024-12-15;7,8;26;75,5;
2024-12-16;0;25,7;74,3;
2024-12-17;10,8;23,6;77,5;
2024-12-18;2;23;81,5;
2024-12-19;4,4;24,1;81,7;
2024-12-20;2;25,2;85;
2024-12-21;22,6;24,7;96,5;
2024-12-22;10,4;25,2;86,9;
2024-12-23;1,8;23,6;96,3;
2024-12-24;28,4;23,5;85,5;
2024-12-25;5,2;25,7;78,5;
2024-12-26;3,2;24,6;null;
2024-12-27;9,2;24,6;null;
2024-12-28;22,4;25,6;90,2;
2024-12-29;0;24,9;null;
2024-12-30;9;24,8;null;
2024-12-31;9;24,6;73;

