Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;1,2;23,3;70,9;
2024-01-02;2;24,8;75,1;
2024-01-03;1,6;25,2;88,1;
2024-01-04;20,2;24,5;97;
2024-01-05;10,8;24,5;91;
2024-01-06;2;25,4;79,6;
2024-01-07;0;26;73,5;
2024-01-08;0;27,5;68,8;
2024-01-09;0;28;71,7;
2024-01-10;4;27,6;72,8;
2024-01-11;0;27,3;61,9;
2024-01-12;0;27,4;64;
2024-01-13;0;26,1;73,9;
2024-01-14;0;25,8;78,4;
2024-01-15;0;27,8;64,4;
2024-01-16;0;27,8;64,9;
2024-01-17;0;27,4;63,4;
2024-01-18;0;27,5;62,3;
2024-01-19;0;26,9;66,1;
2024-01-20;0;28;64,5;
2024-01-21;24,4;25,9;75,8;
2024-01-22;4;24,8;86,6;
2024-01-23;8;24,7;81,1;
2024-01-24;22,8;22,5;94;
2024-01-25;5;24,5;93,3;
2024-01-26;2;24,7;89,6;
2024-01-27;0;24,9;82,2;
2024-01-28;0;25,1;87,9;
2024-01-29;8;26,4;79;
2024-01-30;2;27,1;80,5;
2024-01-31;0;27,8;79,7;
2024-02-01;8;26,7;79,6;
2024-02-02;6;27,3;73,7;
2024-02-03;0;27,4;74,7;
2024-02-04;6;27,9;71;
2024-02-05;0;28,2;65,7;
2024-02-06;0;27,2;76,3;
2024-02-07;0;26,6;78,9;
2024-02-08;0;27,9;72,4;
2024-02-09;0;27,7;71,7;
2024-02-10;2;26,2;71,8;
2024-02-11;8;27,2;66,5;
2024-02-12;0;27,7;68,2;
2024-02-13;0;27,8;64,5;
2024-02-14;0;27;68,8;
2024-02-15;2;25;79,5;
2024-02-16;4,4;25,3;77,5;
2024-02-17;2;26;69;
2024-02-18;0;26,2;73,1;
2024-02-19;0;25,3;81,7;
2024-02-20;7,2;26,2;78,3;
2024-02-21;12,6;25,1;91,5;
2024-02-22;2;24,9;91,8;
2024-02-23;1,8;26,7;82;
2024-02-24;0;27;75,6;
2024-02-25;0;26,7;71,8;
2024-02-26;0;26,1;85;
2024-02-27;0;26,3;78,9;
