Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;3,8;24,3;71,1;
2024-01-02;0;26,1;71,5;
2024-01-03;1,6;26,9;79,9;
2024-01-04;79,6;24,6;86,8;
2024-01-05;2,4;25,9;81,7;
2024-01-06;0;25,5;80,3;
2024-01-07;4;27;74;
2024-01-08;0;29,5;68,5;
2024-01-09;0;30,1;65,7;
2024-01-10;0;29,9;70,7;
2024-01-11;0;29,7;70,9;
2024-01-12;41;28,3;77;
2024-01-13;1,6;26,3;89,5;
2024-01-14;151,8;26,1;88,4;
2024-01-15;2;29,2;74;
2024-01-16;0;31,4;64,9;
2024-01-17;0;32,2;63,3;
2024-01-18;0;29,8;74,8;
2024-01-19;4;28,5;80;
2024-01-20;0;30,6;66;
2024-01-21;63;27,2;80,6;
2024-01-22;10;26,1;81,8;
2024-01-23;4,8;22,2;93,3;
2024-01-24;37,8;21,5;91;
2024-01-25;3,6;24,3;85,6;
2024-01-26;7,2;23,4;89,5;
2024-01-27;2;24,4;86,6;
2024-01-28;1,6;24,6;88,1;
2024-01-29;14,2;25,7;80,5;
2024-01-30;2;27,5;78,5;
2024-01-31;0;26,9;81,7;
2024-02-01;13,4;26;76;
2024-02-02;2;25,3;86,3;
2024-02-03;8;26;83,6;
2024-02-04;0;26,4;84;
2024-02-05;21;26,4;80,9;
2024-02-06;2;27,2;78,4;
2024-02-07;0;27,3;78,9;
2024-02-08;0;27,5;78,4;
2024-02-09;0;27,4;74,8;
2024-02-10;0;27,7;70,9;
2024-02-11;0;28,8;69,8;
2024-02-12;0;29,7;64;
2024-02-13;0;30,5;62;
2024-02-14;0;28,7;66,7;
2024-02-15;6;24,8;93,3;
2024-02-16;59,4;25,4;82,3;
2024-02-17;2;26,2;76,8;
2024-02-18;0;26,9;78,1;
2024-02-19;0;26,5;80,3;
2024-02-20;0;25,4;88;
2024-02-21;4;26;89,8;
2024-02-22;55,6;26,3;85;
2024-02-23;0;29,1;74;
2024-02-24;0;29,8;72,3;
2024-02-25;0;28,4;79,4;
2024-02-26;0;27,6;80,2;
2024-02-27;0;28,6;74,5;
2024-02-28;0;29,1;76,5;
2024-02-29;0;28,1;79,5;
2024-03-01;0;28;79;
2024-03-02;0;26,5;73,8;
2024-03-03;0;26,1;73,5;
2024-03-04;0;26,9;71,4;
2024-03-05;0;27,9;76,4;
2024-03-06;43,4;25,5;89;
2024-03-07;30;26,7;84,6;
2024-03-08;0;27,4;80,2;
2024-03-09;0;28,3;78,8;
2024-03-10;18,4;27,7;81,7;
2024-03-11;0;26,9;79,8;
2024-03-12;0;25,5;82,9;
2024-03-13;0;25,9;78,2;
2024-03-14;0;27,1;76,9;
2024-03-15;0;28,8;74,9;
2024-03-16;0;29,5;75,9;
2024-03-17;0;29,9;76,2;
2024-03-18;0;28,8;78,2;
2024-03-19;0;28,7;80,1;
2024-03-20;5;27,7;84;
2024-03-21;2,6;29,9;73,1;
2024-03-22;12,6;25,4;90,1;
2024-03-23;68,8;23,6;84,8;
2024-03-24;5,6;22,4;95,3;
2024-03-25;17,8;25;82,4;
2024-03-26;1,4;23,5;91;
2024-03-27;14,2;23;91,8;
2024-03-28;6;23,7;93,1;
2024-03-29;3,6;24,9;89,1;
2024-03-30;2;25,7;83,8;
2024-03-31;2;25,5;80;
2024-04-01;0;24,7;79,9;
2024-04-02;0;25,4;78,9;
2024-04-03;0;25,7;80;
2024-04-04;0;25,7;79,5;
2024-04-05;0;26,3;77,7;
2024-04-06;0;25,6;77;
2024-04-07;0;25,2;80,5;
2024-04-08;0;25,8;79,8;
2024-04-09;0;26,6;78,5;
2024-04-10;0;25,7;79,5;
2024-04-11;0;26,3;82,1;
2024-04-12;0;25,5;82,3;
2024-04-13;0;26,6;74,1;
2024-04-14;0;25,6;77;
2024-04-15;0;26,5;72,8;
2024-04-16;0;27,4;72,2;
2024-04-17;0;26,6;76;
2024-04-18;8;23,6;80,8;
2024-04-19;2;22,8;71,5;
2024-04-20;0;22,2;75,3;
2024-04-21;0;22,1;76,8;
2024-04-22;0;22,8;75,5;
2024-04-23;0;24,7;74,4;
2024-04-24;0;26,2;70,3;
2024-04-25;0;25,8;79,5;
2024-04-26;0;25,9;72,3;
2024-04-27;0;25,2;75,1;
2024-04-28;0;28,1;66,4;
2024-04-29;0;26,7;77,8;
2024-04-30;0;26,5;78,6;
2024-05-01;0;27,6;74;
2024-05-02;0;28,1;69,7;
2024-05-03;0;26,7;72,4;
2024-05-04;0;26;76,6;
2024-05-05;0;25,7;75,4;
2024-05-06;0;25,4;75,3;
2024-05-07;0;25,7;73,8;
2024-05-08;0;26,5;69;
2024-05-09;0;27,9;61,1;
2024-05-10;0;26,2;77;
2024-05-11;0;25,8;75,2;
2024-05-12;0;27,1;65,8;
2024-05-13;0;27;64,1;
2024-05-14;0;25,3;76,4;
2024-05-15;0;22,5;87,4;
2024-05-16;6;23,4;85,7;
2024-05-17;0;26,3;71,9;
2024-05-18;0;25,2;76,1;
2024-05-19;0;24,7;82,8;
2024-05-20;0;25,3;78;
2024-05-21;2,6;23,2;82,9;
2024-05-22;0;23,5;80,3;
2024-05-23;0;24,3;75,7;
