Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;null;17,1;86,6;
2024-01-02;null;19;85;
2024-01-03;null;19,8;87,5;
2024-01-04;null;19,5;88,4;
2024-01-05;null;19,2;86,3;
2024-01-06;null;19,2;84,5;
2024-01-07;null;20,4;81,3;
2024-01-08;null;22,2;78,2;
2024-01-09;null;21,8;77,5;
2024-01-10;null;21,5;76,8;
2024-01-11;null;21,9;81,2;
2024-01-12;null;21,2;82,5;
2024-01-13;null;20,1;89,8;
2024-01-14;null;20,4;89,5;
2024-01-15;null;21,2;83,7;
2024-01-16;null;22,9;75,3;
2024-01-17;null;22,8;79;
2024-01-18;null;21,9;81,1;
2024-01-19;null;20,8;84,3;
2024-01-20;null;21,4;84,9;
2024-01-21;null;20,2;86,5;
2024-01-22;null;19;87,3;
2024-01-23;null;18;85,7;
2024-01-24;null;17,1;88,3;
2024-01-25;null;18,8;87,1;
2024-01-26;null;18,7;87;
2024-01-27;null;19,9;83,8;
2024-01-28;null;20,6;84,2;
2024-01-29;null;20,6;80,1;
2024-01-30;null;20,2;79,9;
2024-01-31;null;19,6;81,8;
2024-02-01;null;18,9;82;
2024-02-02;null;19,6;87,6;
2024-02-03;null;20,6;77,1;
2024-02-04;null;21;77,5;
2024-02-05;null;19,9;81,2;
2024-02-06;null;19,4;83,2;
2024-02-07;null;19,7;81,9;
2024-02-08;null;19,8;82,5;
2024-02-09;null;19,5;78,9;
2024-02-10;null;19,8;75;
2024-02-11;null;20,7;78,2;
2024-02-12;null;21,9;72;
2024-02-13;null;21,4;77,1;
2024-02-14;null;20,5;79;
2024-02-15;null;19,3;88,9;
2024-02-16;null;18,8;82;
2024-02-17;null;19,4;83,8;
2024-02-18;null;20,5;81,5;
2024-02-19;null;20,7;80,2;
2024-02-20;null;19,5;84,5;
2024-02-21;null;20,5;84,7;
2024-02-22;null;20,4;85;
2024-02-23;null;21,5;79,8;
2024-02-24;null;22,5;78,5;
2024-02-25;null;21,1;83,1;
2024-02-26;null;21;81,5;
2024-02-27;null;21,8;78,6;
2024-02-28;null;22,8;78,7;
2024-02-29;null;21,6;86,2;
2024-03-01;null;21,4;86,6;
2024-03-02;null;19,2;81,1;
2024-03-03;null;18,8;78,9;
2024-03-04;null;19;75;
2024-03-05;null;22,5;74,4;
2024-03-06;null;20;86,2;
2024-03-07;null;20,5;87,3;
2024-03-08;null;20,9;83,8;
2024-03-09;null;21,9;81,5;
2024-03-10;null;21,6;83;
2024-03-11;null;20;81,7;
2024-03-12;null;19;80,7;
2024-03-13;null;20,1;79,7;
2024-03-14;null;20,8;74,5;
2024-03-15;null;20,6;78;
2024-03-16;null;21,3;81,6;
2024-03-17;null;22,6;77,8;
2024-03-18;null;22,6;79,3;
2024-03-19;null;21,7;85,3;
2024-03-20;null;21,9;82,3;
2024-03-21;null;23,3;75,8;
2024-03-22;null;20,6;89,3;
2024-03-23;111,8;17,4;87,9;
2024-03-24;8,4;18,6;86,8;
2024-03-25;6;19,2;87,1;
2024-03-26;24,4;18,5;90,6;
2024-03-27;26,4;17,9;88,5;
2024-03-28;5,6;18,3;87,9;
2024-03-29;1,4;20,2;82,6;
2024-03-30;4;20,1;85,2;
2024-03-31;10,6;18,8;79,8;
2024-04-01;2;16,6;83,2;
2024-04-02;2;18,9;80,1;
2024-04-03;0;17,7;74,5;
2024-04-04;2;19,1;80,5;
2024-04-05;0;19,2;77,1;
2024-04-06;2;18;78,8;
2024-04-07;1,2;16,8;80,4;
2024-04-08;0;19,5;73,9;
2024-04-09;4;18,4;81,6;
2024-04-10;12,2;18,5;84,2;
2024-04-11;2,8;19,4;82,7;
2024-04-12;8,4;18,5;84,5;
2024-04-13;4;18,7;80;
2024-04-14;4;18,3;77,4;
2024-04-15;0;19,6;75,6;
2024-04-16;4;19,7;77,4;
2024-04-17;0;20,3;78,7;
2024-04-18;4,4;16,7;87,6;
2024-04-19;6;15,3;84,4;
2024-04-20;4;16,3;82;
2024-04-21;2;15,8;80,5;
2024-04-22;2;17,5;73,1;
2024-04-23;0;17;80,9;
2024-04-24;4;17,9;77,3;
2024-04-25;0;18,6;81,4;
2024-04-26;6,2;19,4;86,4;
2024-04-27;0;18,8;80,3;
2024-04-28;2;19,1;77,9;
2024-04-29;4;19,5;77,6;
2024-04-30;2;18,6;77,9;
2024-05-01;4;18,5;78,2;
2024-05-02;2;20,1;75,8;
2024-05-03;2;18,8;79,6;
2024-05-04;4;18;77,7;
2024-05-05;4;16,2;74,1;
2024-05-06;2;17,5;77,6;
2024-05-07;4;18,2;76,2;
2024-05-08;4;18,7;78;
2024-05-09;2;18,9;77,7;
2024-05-10;4;18,2;79,5;
2024-05-11;2;17,4;79,8;
2024-05-12;4;17,8;77,4;
2024-05-13;2;20;68,6;
2024-05-14;2;18,1;79;
2024-05-15;0;18,3;85,4;
2024-05-16;4;18,5;83,8;
2024-05-17;4;19;75,8;
2024-05-18;2;17,6;77,4;
2024-05-19;2;16,9;81,4;
2024-05-20;2;18,6;80,7;
2024-05-21;7,8;18,1;86,2;
2024-05-22;2;17,4;81,8;
2024-05-23;4;16,4;82,1;
2024-05-24;2;18,8;73,8;
2024-05-25;0;16,7;83,4;
2024-05-26;4,6;15,3;89,1;
2024-05-27;21,6;16,1;87,8;
2024-05-28;2;18,6;78,9;
2024-05-29;2;15,8;87,4;
2024-05-30;4;12,6;83,9;
2024-05-31;2;12;82,9;
2024-06-01;2;13,2;78,4;
2024-06-02;0;15;76,6;
2024-06-03;2;14,4;76,7;
2024-06-04;2;14,3;83,8;
2024-06-05;0;15,8;84,3;
2024-06-06;0;14,9;80,3;
2024-06-07;2;13,2;81;
2024-06-08;4;13,7;82,2;
2024-06-09;2;14,4;81;
2024-06-10;4;16,3;71,9;
2024-06-11;2;12,8;78,3;
2024-06-12;4;12,9;76,1;
2024-06-13;2;12,7;73;
2024-06-14;0;16,1;67,5;
2024-06-15;0;16,3;66,1;
2024-06-16;2;15,8;71,9;
2024-06-17;2;16,4;70,5;
2024-06-18;0;15,9;65,8;
2024-06-19;2;13,9;76,7;
2024-06-20;2;13,3;77,2;
2024-06-21;4;13;76,5;
2024-06-22;2;14,7;76,8;
2024-06-23;2;16,1;75,8;
2024-06-24;2;15,2;80,1;
2024-06-25;2;16,3;84,2;
2024-06-26;0;18,2;80,3;
2024-06-27;2;16,4;83,5;
2024-06-28;0;17,6;79,9;
2024-06-29;2;15,8;84,1;
2024-06-30;0;14,5;88,8;
2024-07-01;12,6;13,1;90,5;
2024-07-02;10,4;13,9;87,4;
2024-07-03;2;15;81;
2024-07-04;4;14,4;78,1;
2024-07-05;0;15,5;74,8;
2024-07-06;0;13,7;83,2;
2024-07-07;2;14,7;82;
2024-07-08;2;16,8;76,5;
2024-07-09;4;17;82,4;
2024-07-10;4;18,2;75,9;
2024-07-11;2;17,7;75,2;
2024-07-12;2;14,3;85,9;
2024-07-13;6;16,2;84,9;
2024-07-14;0;15,7;78,4;
2024-07-15;2;13,1;82,3;
2024-07-16;0;14,4;80,3;
2024-07-17;2;13,1;79,8;
2024-07-18;4;13;79,1;
2024-07-19;2;13,3;83;
2024-07-20;2;11,3;84;
2024-07-21;0;12,6;80,8;
2024-07-22;4;12,8;70,6;
2024-07-23;0;9,5;65,3;
2024-07-24;2;10,2;73,8;
2024-07-25;2;12,3;78,2;
2024-07-26;2;11,6;76,2;
2024-07-27;2;12,5;75,9;
2024-07-28;2;14,7;74,8;
2024-07-29;2;16,3;70,8;
2024-07-30;0;13,8;86,5;
2024-07-31;6;15,2;74,6;
2024-08-01;0;15;76;
2024-08-02;2;13;75,4;
2024-08-03;2;15,8;80,1;
2024-08-04;1,4;17,2;74,8;
2024-08-05;2;15,6;77,5;
2024-08-06;2;15;72,9;
2024-08-07;2;14,1;73,3;
2024-08-08;2;15,3;73;
2024-08-09;2;14,6;77,3;
2024-08-10;4,6;12,5;87,7;
2024-08-11;18,6;11,2;71,2;
2024-08-12;0;13,3;73,5;
2024-08-13;0;9,6;70,7;
2024-08-14;0;10,8;74,3;
2024-08-15;4;14,4;73,1;
2024-08-16;2;14,5;67,5;
2024-08-17;0;13,6;63,1;
2024-08-18;0;14,8;66,4;
2024-08-19;2;14,7;64,3;
2024-08-20;2;16,4;60,9;
2024-08-21;0;13,9;73;
2024-08-22;2;16,1;69,4;
2024-08-23;2;18,5;64;
2024-08-24;0;18,4;66,2;
2024-08-25;8;14,9;80,5;
2024-08-26;40,6;9,4;89,3;
2024-08-27;1,6;10,9;79,8;
2024-08-28;2;13,1;74,7;
2024-08-29;2;12,7;76,6;
2024-08-30;2;13,9;64,3;
2024-08-31;0;13,1;73,5;
2024-09-01;4;16,3;66,2;
2024-09-02;0;16,5;71,9;
2024-09-03;0;17;79;
2024-09-04;2;16,7;66,1;
2024-09-05;2;16,2;79;
2024-09-06;0;17,2;85,5;
2024-09-07;0;20,1;71,5;
2024-09-08;2;18,2;71,4;
2024-09-09;2;17,5;69,9;
2024-09-10;2;16,6;66,8;
2024-09-11;0;18,4;55,6;
2024-09-12;0;17,8;59,7;
2024-09-13;0;18,5;58,5;
2024-09-14;0;19;60;
