Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;,4;20,4;84,2;
2024-01-02;0;22,5;82,3;
2024-01-03;6,2;23,4;88;
2024-01-04;133,6;22,1;88,2;
2024-01-05;0;22,6;86,1;
2024-01-06;0;22,5;83,4;
2024-01-07;0;23,9;80,5;
2024-01-08;0;25,3;77,8;
2024-01-09;0;26,5;73,9;
2024-01-10;0;26,6;75,4;
2024-01-11;0;26;77,7;
2024-01-12;1;24,5;85;
2024-01-13;11,4;23,4;89,8;
2024-01-14;33,2;24,4;84,7;
2024-01-15;0;26,1;77,9;
2024-01-16;null;null;70,5;
2024-01-17;1,4;27,3;75,1;
2024-01-18;null;25,6;83,8;
2024-01-19;26;24,6;86,8;
2024-01-20;,6;25,9;80,2;
2024-01-21;22,2;24;86,5;
2024-01-22;12,4;22,3;87,5;
2024-01-23;5,2;19,2;94;
2024-01-24;37,4;19,5;89;
2024-01-25;,2;22,8;82,7;
2024-01-26;0;21,8;81,3;
2024-01-27;0;22,4;84,3;
2024-01-28;0;22,9;86,8;
2024-01-29;47,2;23,6;83;
2024-01-30;,4;25,2;75,9;
2024-01-31;27,4;22,6;86,6;
2024-02-01;13,2;22,2;82,9;
2024-02-02;1;21,8;89;
2024-02-03;3,6;24,2;82,2;
2024-02-04;0;23,4;86,7;
2024-02-05;17,6;23,7;83,5;
2024-02-06;0;null;81,4;
2024-02-07;null;24;82,2;
2024-02-08;0;24,6;80,8;
2024-02-09;null;null;75;
2024-02-10;0;25,1;71,8;
2024-02-11;0;26,1;71,9;
2024-02-12;0;25,2;76,6;
2024-02-13;,6;26;74,5;
2024-02-14;0;23,3;84,2;
2024-02-15;34,4;21,9;94,1;
2024-02-16;40,6;22,8;84,2;
2024-02-17;0;22,9;82,7;
2024-02-18;0;23,2;84,1;
2024-02-19;,2;23,6;84,4;
2024-02-20;0;22,6;89,5;
2024-02-21;3;23,1;90,5;
2024-02-22;105,8;23,1;91;
2024-02-23;7,6;24,9;85;
2024-02-24;0;25,4;81,8;
2024-02-25;,2;24,9;83,7;
2024-02-26;0;24,9;82,8;
2024-02-27;,4;26;78,8;
2024-02-28;,6;25,8;86,5;
2024-02-29;2,6;25;88,1;
2024-03-01;6,8;24,9;86,5;
2024-03-02;18,4;22,6;83,7;
2024-03-03;,2;22,8;81;
2024-03-04;,2;24,6;77;
2024-03-05;0;25,4;79,6;
2024-03-06;42;null;87,6;
2024-03-07;null;null;84,7;
2024-03-08;null;24,9;83,9;
2024-03-09;1,2;24,8;86,8;
2024-03-10;11,2;24,8;88,5;
2024-03-11;3,2;23,7;82,9;
2024-03-12;0;22,9;83,7;
2024-03-13;0;23,1;85,7;
2024-03-14;0;24,8;83;
2024-03-15;0;25,4;80,5;
2024-03-16;0;26,6;77,2;
2024-03-17;0;28;73,4;
2024-03-18;1,8;25,8;84,2;
2024-03-19;16,8;25,9;84,3;
2024-03-20;0;25,5;83,9;
2024-03-21;0;26,8;78,3;
2024-03-22;2,8;23,3;87,8;
2024-03-23;1;20,1;84;
2024-03-24;2,4;20;92,3;
2024-03-25;12,4;21,7;89,2;
2024-03-26;6,8;null;93,5;
2024-03-27;null;null;null;
2024-03-28;null;null;null;
2024-03-29;null;null;null;
2024-03-30;null;null;87,2;
2024-03-31;11,6;22;83,2;
2024-04-01;0;21,8;82,8;
2024-04-02;0;22,5;86;
2024-04-03;0;22,7;79,5;
2024-04-04;0;23,7;82,3;
2024-04-05;0;23,6;77,5;
2024-04-06;0;21,8;80,2;
2024-04-07;0;22,2;82;
2024-04-08;0;22,9;80,4;
2024-04-09;0;23,3;84,5;
2024-04-10;,6;23,5;84,8;
2024-04-11;0;23,3;85,1;
2024-04-12;0;23,3;81,8;
2024-04-13;,2;23;81;
2024-04-14;0;22,6;82,2;
2024-04-15;0;23,9;78,7;
2024-04-16;0;24,3;76,3;
2024-04-17;0;23,8;81,7;
2024-04-18;9,2;20,4;86,3;
2024-04-19;0;19,1;79,3;
2024-04-20;0;19,8;81,2;
2024-04-21;0;20,7;77,6;
2024-04-22;0;20,5;77,3;
2024-04-23;0;21,6;75,3;
2024-04-24;0;22;73,2;
2024-04-25;,2;22,3;82,5;
2024-04-26;0;22,1;87,8;
2024-04-27;0;23,2;80,8;
2024-04-28;0;24;76,5;
2024-04-29;0;23,5;78,7;
2024-04-30;0;24;78,8;
2024-05-01;,2;24,1;76,2;
2024-05-02;0;23,8;76,5;
2024-05-03;0;23,7;79;
2024-05-04;0;23,3;77,5;
2024-05-05;0;22,4;76,2;
2024-05-06;,2;22,1;77,6;
2024-05-07;,2;22,3;81,4;
2024-05-08;0;23,2;73,4;
2024-05-09;0;23,1;73,6;
2024-05-10;0;22,6;79,1;
2024-05-11;0;22,8;79,5;
2024-05-12;,2;23,3;74,9;
2024-05-13;0;23;69,9;
2024-05-14;0;22;79,3;
2024-05-15;0;20,4;87,3;
2024-05-16;0;21,8;84,1;
2024-05-17;,2;23,1;76,8;
2024-05-18;0;22,3;80,7;
2024-05-19;0;21,6;85,5;
2024-05-20;0;22,7;80,5;
2024-05-21;0;20,8;85,8;
2024-05-22;0;22,2;76,6;
2024-05-23;0;21,2;77,9;
2024-05-24;,2;21;77,5;
2024-05-25;0;19,4;84,6;
2024-05-26;2;17,3;91,5;
2024-05-27;6,8;17,8;93,8;
2024-05-28;1,4;21,1;84,8;
2024-05-29;,4;18;92,2;
2024-05-30;2,4;17,1;74;
2024-05-31;,2;15,5;84,4;
2024-06-01;0;17,1;81,5;
2024-06-02;,2;17,2;81,7;
2024-06-03;0;18,8;78,8;
2024-06-04;0;18,9;85,6;
2024-06-05;1;18,1;90,3;
2024-06-06;0;19,2;84,1;
2024-06-07;,2;18,3;81,1;
2024-06-08;0;19,1;79,4;
2024-06-09;0;18,8;82,9;
2024-06-10;,2;18,7;80,2;
2024-06-11;0;19,3;76,5;
2024-06-12;0;18,6;77,3;
2024-06-13;,2;18,6;75;
2024-06-14;0;18,8;72,3;
2024-06-15;,2;19,2;75,4;
2024-06-16;0;18,8;73,5;
2024-06-17;,2;18,9;71,8;
2024-06-18;0;18,8;71,9;
2024-06-19;0;18,7;70,3;
2024-06-20;0;19,2;66,5;
2024-06-21;0;18;69,8;
2024-06-22;0;19,1;73,1;
2024-06-23;0;19,9;70,9;
2024-06-24;0;20;72,3;
2024-06-25;0;20,5;80,5;
2024-06-26;0;22,3;77,8;
2024-06-27;0;19,3;87;
2024-06-28;0;21,2;80,8;
2024-06-29;0;20,4;82,5;
2024-06-30;0;16,5;90,2;
2024-07-01;1,2;15;93,7;
2024-07-02;18,4;16,8;89,7;
2024-07-03;0;19,4;80,8;
2024-07-04;,2;20,8;73,7;
2024-07-05;0;20;71,7;
2024-07-06;0;18,2;81,4;
2024-07-07;0;19;81,5;
2024-07-08;0;18,1;90,1;
2024-07-09;0;18,3;89,6;
2024-07-10;0;20;83,2;
2024-07-11;2,6;18,6;92;
2024-07-12;0;19;89,6;
2024-07-13;,2;18,5;88,5;
2024-07-14;1;20,1;80,2;
2024-07-15;0;18,4;83,4;
2024-07-16;0;18,8;81,9;
2024-07-17;0;19,1;81,3;
2024-07-18;0;18,4;81,5;
2024-07-19;0;18,1;81,5;
2024-07-20;0;15,6;86,5;
2024-07-21;0;16,5;82,3;
2024-07-22;,2;17,3;79,4;
2024-07-23;0;16,8;80,1;
2024-07-24;0;15,9;78,1;
2024-07-25;,2;17,4;74,3;
2024-07-26;0;17,9;73,5;
2024-07-27;0;19;69,3;
2024-07-28;0;20,4;68,8;
2024-07-29;0;19,8;75,1;
2024-07-30;0;17,7;82,4;
2024-07-31;4;17,6;84,3;
2024-08-01;,2;18,3;80,9;
2024-08-02;0;17,9;76;
2024-08-03;,2;19;75,6;
2024-08-04;0;21,9;74,7;
2024-08-05;0;21;70,7;
2024-08-06;0;21,2;68,6;
2024-08-07;0;20,8;64,8;
2024-08-08;0;20,6;63,9;
2024-08-09;0;19,5;74,2;
2024-08-10;13,4;14,5;89,5;
2024-08-11;10,4;13,8;78,9;
2024-08-12;0;13,9;74,6;
2024-08-13;,2;13,4;70,4;
2024-08-14;0;14,6;75,9;
2024-08-15;0;18;74,5;
2024-08-16;0;20,8;69,2;
2024-08-17;0;20,9;63,5;
2024-08-18;0;20,8;59;
2024-08-19;0;21,3;62;
