Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;2;25,1;61,7;
2024-01-02;4;26,2;72,7;
2024-01-03;1,2;27,4;81;
2024-01-04;31,8;25,2;89;
2024-01-05;6;26,6;81,4;
2024-01-06;1,4;26,4;80,5;
2024-01-07;0;27,2;75,1;
2024-01-08;0;30;62,2;
2024-01-09;0;30,8;63,4;
2024-01-10;0;30,6;64,4;
2024-01-11;0;30,6;71,5;
2024-01-12;5,6;28;83,1;
2024-01-13;75,2;26,5;94,8;
2024-01-14;105;26;91,4;
2024-01-15;1,4;29,3;74,7;
2024-01-16;0;31,9;66,7;
2024-01-17;0;32,3;66,8;
2024-01-18;0;null;77,4;
2024-01-19;null;null;null;
2024-01-20;null;null;49,1;
2024-01-21;48,4;27,8;78,3;
2024-01-22;6,8;26,5;82;
2024-01-23;null;null;null;
2024-01-24;null;null;null;
2024-01-25;null;null;null;
2024-01-26;null;null;null;
2024-01-27;null;null;null;
2024-01-28;2;25,2;89;
2024-01-29;17,4;25,9;82,5;
2024-01-30;null;null;null;
2024-01-31;null;null;null;
2024-02-01;null;null;null;
2024-02-02;null;null;null;
2024-02-03;null;null;null;
2024-02-04;null;null;null;
2024-02-05;null;null;null;
2024-02-06;null;null;69,5;
2024-02-07;0;28,1;79;
2024-02-08;0;28,2;77,1;
2024-02-09;0;28,2;74,6;
2024-02-10;0;28,3;69,4;
2024-02-11;0;29,6;65,8;
2024-02-12;0;31,7;53,7;
2024-02-13;0;31,6;58,9;
2024-02-14;0;29,1;65,5;
2024-02-15;14,4;25,1;96,6;
2024-02-16;19,6;26,3;79,9;
2024-02-17;4;26,9;76,6;
2024-02-18;0;27,4;78,2;
2024-02-19;0;27,3;78,5;
2024-02-20;0;26,1;87,8;
2024-02-21;1,2;26,5;89,7;
2024-02-22;4,6;27,7;80,1;
2024-02-23;0;29,8;69,5;
2024-02-24;0;30,5;70,2;
2024-02-25;0;29,1;80,1;
2024-02-26;0;28,5;80,8;
2024-02-27;0;28,5;74,2;
2024-02-28;0;29;75,6;
2024-02-29;0;29,1;75,3;
2024-03-01;0;28,8;76,9;
2024-03-02;1,4;27,2;69,5;
2024-03-03;2;27;70,4;
2024-03-04;0;28,1;67,5;
2024-03-05;0;28,7;74,8;
2024-03-06;12,6;26,5;85,2;
2024-03-07;0;27,1;83,3;
2024-03-08;0;27,8;78,2;
2024-03-09;0;28,6;81,2;
2024-03-10;29;27,9;82,7;
