Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;3,2;23,1;83,2;
2024-01-02;0;24,4;82,8;
2024-01-03;16,2;24,9;91;
2024-01-04;29,2;24,9;89,3;
2024-01-05;6;25;88,4;
2024-01-06;7,2;24,6;86,1;
2024-01-07;0;24,8;83;
2024-01-08;0;26,7;83,7;
2024-01-09;0;28,7;78,8;
2024-01-10;0;27,7;82,4;
2024-01-11;8,2;27,9;83,3;
2024-01-12;3,2;27;83,3;
2024-01-13;5,4;25,4;92,5;
2024-01-14;35,8;24,8;93,6;
2024-01-15;1,2;27,7;85;
2024-01-16;0;29,5;75,6;
2024-01-17;0;30;75,8;
2024-01-18;0;27,8;82,3;
2024-01-19;,4;28;79,9;
2024-01-20;,4;29,2;76,3;
2024-01-21;51,2;26,1;87,8;
2024-01-22;55,4;23,4;94,8;
2024-01-23;15,8;21,3;94,6;
2024-01-24;46;21,6;88,5;
2024-01-25;2,6;22,8;90,6;
2024-01-26;16,4;22,1;91;
2024-01-27;4,8;23,5;88,7;
2024-01-28;,8;23,5;91;
2024-01-29;11,6;24,7;82,3;
2024-01-30;0;26,6;79,5;
2024-01-31;0;25,6;84,6;
2024-02-01;2;25,4;81,3;
2024-02-02;4,8;24,2;88,5;
2024-02-03;1;25,4;84,6;
2024-02-04;,2;25,4;88,9;
2024-02-05;3,2;26,4;77,2;
2024-02-06;0;26,4;78,2;
2024-02-07;0;26,5;78,5;
2024-02-08;0;27,2;77,2;
2024-02-09;0;27,1;79,3;
2024-02-10;,4;28,1;71,3;
2024-02-11;0;28,7;72;
2024-02-12;0;30;70,5;
2024-02-13;0;30,3;68,7;
2024-02-14;0;28,3;71,3;
2024-02-15;16,4;24,8;94;
2024-02-16;93,6;24,8;84,2;
2024-02-17;,4;25,2;78,5;
2024-02-18;0;25,6;81,1;
2024-02-19;0;25,8;81,2;
2024-02-20;1;25,4;86,9;
2024-02-21;1,8;25;88,7;
2024-02-22;15,4;25,6;90,8;
2024-02-23;2,8;26,8;87,2;
2024-02-24;,4;28,5;80;
2024-02-25;0;28;81,8;
2024-02-26;0;27,3;82,4;
2024-02-27;,4;27,1;81,8;
2024-02-28;2,4;28,3;81,7;
2024-02-29;,2;28;81;
2024-03-01;0;27,6;80,8;
2024-03-02;2,2;25,3;82;
2024-03-03;,4;25,6;77;
2024-03-04;0;26,7;79;
2024-03-05;0;26,9;82,9;
2024-03-06;78;25,6;87,8;
2024-03-07;8,8;25,9;89,7;
2024-03-08;6,8;26,5;86,5;
2024-03-09;,2;26,8;85,5;
2024-03-10;3;27,3;86,4;
2024-03-11;15,6;26,1;84,9;
2024-03-12;9,2;24,3;89,8;
2024-03-13;1,6;24,9;85,5;
2024-03-14;0;25,5;83,8;
2024-03-15;0;26,9;81,5;
2024-03-16;0;28,3;78,3;
2024-03-17;0;29;77,5;
2024-03-18;55,8;26,9;89,5;
2024-03-19;3;27,7;85,5;
2024-03-20;,2;28;83,8;
2024-03-21;0;29,9;76,9;
2024-03-22;18,8;24,6;91,7;
2024-03-23;50,6;21,8;91;
2024-03-24;11,2;21,3;95,1;
2024-03-25;18;24,1;87,5;
2024-03-26;0;24,2;83,8;
2024-03-27;1;22,3;91,5;
2024-03-28;3;22,4;94,3;
2024-03-29;5,8;24,4;91,5;
2024-03-30;,6;25;87,7;
