Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;,4;21,3;85,6;
2024-01-02;,8;23,4;82;
2024-01-03;8,2;24,1;90,7;
2024-01-04;41,4;23;93;
2024-01-05;19,8;25,7;77,3;
2024-01-06;0;25,4;73,8;
2024-01-07;0;25,8;77,3;
2024-01-08;0;26,9;75,7;
2024-01-09;0;28;72,3;
2024-01-10;0;28,2;70,7;
2024-01-11;0;26,8;78,3;
2024-01-12;8;26,7;78,7;
2024-01-13;11,6;26;83,5;
2024-01-14;31,6;25,1;90,2;
2024-01-15;,6;25,7;85;
2024-01-16;,8;27,4;75,8;
2024-01-17;0;28,8;73,8;
2024-01-18;0;28,3;73,5;
2024-01-19;0;26,9;80,2;
2024-01-20;0;27,5;75;
2024-01-21;2;25,8;81,8;
2024-01-22;3;25,5;80;
2024-01-23;3;24;81,6;
2024-01-24;30;21,3;86,8;
2024-01-25;,4;25,9;76,3;
2024-01-26;,2;25,7;72,9;
2024-01-27;0;24,9;79,7;
2024-01-28;0;26,1;81,6;
2024-01-29;29,8;25,7;78,4;
2024-01-30;3;25,6;82,3;
2024-01-31;0;25,6;81,9;
2024-02-01;1;24,1;81,1;
2024-02-02;1,8;26;79,8;
2024-02-03;0;26,3;76,7;
2024-02-04;0;26,3;76;
2024-02-05;0;26;76;
2024-02-06;0;25,6;77,2;
2024-02-07;15,8;25,7;78,2;
2024-02-08;2,6;25,5;79,2;
2024-02-09;,6;25,7;75,5;
2024-02-10;,2;25,1;73,9;
2024-02-11;0;25,8;77,8;
2024-02-12;0;26,5;73,9;
2024-02-13;0;26,5;76,5;
2024-02-14;,4;25,6;79,8;
2024-02-15;1,4;23,4;92,5;
2024-02-16;26;25,4;78;
2024-02-17;,2;25,5;76,5;
2024-02-18;0;26,2;82;
2024-02-19;,8;25,3;81,1;
2024-02-20;1,8;24,1;88,2;
2024-02-21;19;25,1;91,8;
2024-02-22;4,4;24,8;94,3;
2024-02-23;,6;25,6;92,3;
2024-02-24;,4;27,3;85,1;
2024-02-25;,6;26;86,5;
2024-02-26;15,4;25,8;86,8;
2024-02-27;25,4;26,7;82,3;
2024-02-28;,2;27,4;78,9;
2024-02-29;15,8;26,3;85,1;
2024-03-01;5,2;26,8;86,7;
2024-03-02;20;25;86,6;
2024-03-03;,2;23,6;78,9;
2024-03-04;0;24,7;78,9;
2024-03-05;0;27,1;77,8;
2024-03-06;5,8;25,9;81,3;
2024-03-07;11,8;25,4;87,5;
2024-03-08;31,2;26;83,5;
2024-03-09;0;26,7;80,2;
2024-03-10;46,8;25,6;89,2;
2024-03-11;27,2;26,6;82,8;
2024-03-12;,2;25,4;78;
2024-03-13;0;25,9;77,4;
2024-03-14;0;26;78,5;
2024-03-15;0;26,3;81,2;
2024-03-16;0;27,3;79,1;
2024-03-17;0;28,7;76,4;
2024-03-18;0;28,2;73,8;
2024-03-19;0;28,2;77,6;
2024-03-20;12,6;27;81,9;
2024-03-21;0;27,2;82,5;
2024-03-22;0;26,1;87,3;
2024-03-23;4;23,6;86,8;
2024-03-24;,4;23,1;85,8;
2024-03-25;null;null;85,9;
2024-03-26;null;null;null;
2024-03-27;null;null;null;
2024-03-28;null;null;89,6;
2024-03-29;null;null;85,9;
2024-03-30;,2;25,1;88,3;
2024-03-31;31,2;25,5;82,1;
2024-04-01;,2;24,3;77,8;
2024-04-02;0;23,7;82,9;
2024-04-03;0;24,9;74,9;
2024-04-04;0;24,4;81,1;
2024-04-05;0;24,8;78,9;
2024-04-06;0;25,1;77,7;
2024-04-07;0;23,8;77,3;
2024-04-08;0;23;79,8;
2024-04-09;0;23,9;82;
2024-04-10;,2;24,8;77,8;
2024-04-11;0;25,1;78,1;
2024-04-12;0;24,7;77,1;
2024-04-13;0;24,4;76,3;
2024-04-14;0;24;77;
2024-04-15;0;24,9;74;
2024-04-16;0;24,8;72,6;
2024-04-17;0;24,2;77,8;
2024-04-18;0;22,5;86;
2024-04-19;,2;21,8;80,3;
2024-04-20;3,6;22;78,5;
2024-04-21;0;20,8;77,9;
2024-04-22;,2;21,1;76,6;
2024-04-23;0;23,2;78,8;
2024-04-24;0;24,1;76,2;
2024-04-25;0;24,6;73,3;
2024-04-26;0;24,8;77,2;
2024-04-27;0;23,5;74,7;
2024-04-28;0;23,8;77,1;
2024-04-29;0;24,7;75;
2024-04-30;,2;24,1;75,3;
2024-05-01;0;24,3;75,2;
2024-05-02;0;24,7;76,2;
2024-05-03;0;24,8;74,1;
2024-05-04;,2;23,6;75,5;
2024-05-05;0;21,8;80,5;
2024-05-06;,2;22,9;79,7;
2024-05-07;0;22,5;78;
2024-05-08;0;22,9;76,7;
2024-05-09;,2;23,2;76,2;
2024-05-10;0;23,3;72,9;
2024-05-11;0;23,2;76,5;
2024-05-12;0;24,2;74,8;
2024-05-13;0;24,8;70,6;
2024-05-14;0;22,9;69,6;
2024-05-15;0;24;73,7;
