Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;4,8;19,1;82,2;
2024-01-02;6;21,3;82,2;
2024-01-03;2;22;93;
2024-01-04;38,2;21;95;
2024-01-05;21,4;22,5;86,8;
2024-01-06;4;22,6;80,9;
2024-01-07;0;23,4;79,7;
2024-01-08;0;24,1;80,3;
2024-01-09;0;25,2;82,1;
2024-01-10;0;24,9;76,3;
2024-01-11;0;25,4;77,8;
2024-01-12;0;25,5;74,8;
2024-01-13;1,4;23,9;88,4;
2024-01-14;39;23,1;92,5;
2024-01-15;17,6;22,5;91,3;
2024-01-16;13,4;24,6;79,8;
2024-01-17;2;26,2;79,6;
2024-01-18;0;25,7;78,5;
2024-01-19;0;24,9;81,8;
2024-01-20;0;25,4;78,6;
2024-01-21;13;22,8;91,7;
2024-01-22;33,2;22,1;86,9;
2024-01-23;2,8;20,9;89,2;
2024-01-24;23;19,8;91,2;
2024-01-25;7,2;22,3;88,9;
2024-01-26;14;22,8;87,6;
2024-01-27;2,4;23;89,8;
2024-01-28;2;23,1;88,4;
2024-01-29;40,2;23,2;85;
2024-01-30;2;24,5;82;
2024-01-31;2;22,8;91,4;
2024-02-01;9,8;23;85,9;
2024-02-02;7,4;23,4;85,6;
2024-02-03;0;24,2;80,9;
2024-02-04;0;23,7;80,2;
2024-02-05;0;23,2;82;
2024-02-06;0;23,7;81,8;
2024-02-07;2;23,8;81,8;
2024-02-08;0;23,2;85,5;
2024-02-09;8;22,9;81,2;
2024-02-10;5,8;21,5;86;
2024-02-11;5,2;23,6;76,3;
2024-02-12;0;24;76,8;
2024-02-13;0;24;80,8;
2024-02-14;0;23,8;79,8;
2024-02-15;35,2;21,2;94,3;
2024-02-16;11,6;22,8;87;
2024-02-17;8;23,9;84,1;
2024-02-18;8;23,7;84,6;
2024-02-19;7,8;22,3;86,3;
2024-02-20;19,4;22,2;87,6;
2024-02-21;9,4;23,1;90,8;
2024-02-22;3,2;22,5;93,9;
2024-02-23;4,2;23,7;88;
2024-02-24;0;25,4;82,7;
2024-02-25;0;24,8;85,6;
2024-02-26;5,4;24;85;
2024-02-27;6;23,8;81,1;
2024-02-28;0;24,7;81,2;
2024-02-29;2;25;87,5;
2024-03-01;3,2;24,3;88,5;
2024-03-02;21,8;22,5;81,9;
2024-03-03;2;21,4;78,4;
2024-03-04;0;22,1;82;
2024-03-05;0;24;82,2;
2024-03-06;0;23,5;87,7;
2024-03-07;33;22,9;89,3;
2024-03-08;1,6;23,6;84,5;
2024-03-09;2;24;85,5;
2024-03-10;5,4;24,1;90;
2024-03-11;1;24,2;82,9;
2024-03-12;2;22,6;82;
2024-03-13;0;22,8;84,2;
2024-03-14;0;23,2;86;
2024-03-15;0;23,7;83,7;
2024-03-16;0;25,2;81,7;
2024-03-17;0;25,9;78,8;
2024-03-18;0;26,2;76,9;
2024-03-19;0;25,4;79,7;
2024-03-20;0;25,1;81,8;
2024-03-21;0;24,5;86,3;
2024-03-22;0;24;89,3;
2024-03-23;36,6;20,9;92;
2024-03-24;4,6;20,8;94,7;
2024-03-25;8,8;21,8;95,1;
2024-03-26;6,6;21,1;95,9;
2024-03-27;36;21;88,3;
2024-03-28;0;21,5;87,6;
2024-03-29;1;22,6;89,9;
2024-03-30;2;23,2;89,8;
2024-03-31;19,8;23,3;84;
2024-04-01;2;21,8;80,8;
2024-04-02;0;20,9;84,8;
2024-04-03;0;23,4;79,7;
2024-04-04;0;22,7;85,1;
2024-04-05;0;22;81,3;
2024-04-06;0;22,3;80,2;
2024-04-07;0;21,1;78,8;
2024-04-08;0;21,2;81,7;
2024-04-09;0;21,6;86,9;
2024-04-10;0;22,9;80,9;
2024-04-11;0;22,6;83,3;
2024-04-12;2;22;86,7;
2024-04-13;11;21,4;85,3;
2024-04-14;0;20,3;87,7;
2024-04-15;2,8;22,4;80,8;
2024-04-16;2;22,2;83,1;
2024-04-17;0;21,4;87,5;
2024-04-18;0;21;89,3;
2024-04-19;2;19,4;77,4;
2024-04-20;2;19,8;73,8;
2024-04-21;0;18,5;83,4;
2024-04-22;0;19;82,2;
2024-04-23;0;20,9;86;
2024-04-24;0;21,9;82,5;
2024-04-25;0;22,8;80,5;
2024-04-26;0;21,4;87,1;
2024-04-27;0;20,9;82;
2024-04-28;0;21,1;83;
2024-04-29;0;22,8;82,9;
2024-04-30;0;21,6;82;
2024-05-01;2;21,6;82,3;
2024-05-02;0;21,7;83,3;
2024-05-03;0;22,6;80,5;
2024-05-04;2;22;83,4;
2024-05-05;0;20,6;84,7;
2024-05-06;2;20,5;85;
2024-05-07;0;20,4;80,9;
2024-05-08;0;21,1;83,4;
2024-05-09;2;21,2;83,4;
2024-05-10;0;21,5;81,7;
2024-05-11;2;20,9;86,5;
2024-05-12;0;21,6;81,3;
2024-05-13;0;22,2;77,5;
2024-05-14;0;21,7;78,8;
2024-05-15;0;21,5;87,7;
2024-05-16;0;20,9;86,6;
2024-05-17;0;20,8;83,6;
2024-05-18;0;21,2;79,7;
2024-05-19;0;21,7;80,3;
2024-05-20;0;21,4;82,5;
2024-05-21;0;21,5;84,9;
2024-05-22;0;19,5;84,3;
2024-05-23;0;19,3;86;
2024-05-24;0;20,1;79,7;
2024-05-25;0;20,4;83,9;
2024-05-26;15;18,4;89,6;
2024-05-27;16,2;19;91,9;
2024-05-28;0;20,5;86,8;
2024-05-29;0;19,8;88,7;
2024-05-30;2,8;17,1;90,1;
2024-05-31;2;15,9;83,8;
