Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;1,4;23,1;83,6;
2024-01-02;0;25;79,2;
2024-01-03;2,4;25,7;85,7;
2024-01-04;38,2;24,6;90,9;
2024-01-05;2,2;24,9;87,1;
2024-01-06;4,4;24,6;86,4;
2024-01-07;8;25,4;80,8;
2024-01-08;0;28;75,2;
2024-01-09;0;28,1;80;
2024-01-10;0;27,8;79;
2024-01-11;0;28,8;75,2;
2024-01-12;0;27,4;80,1;
2024-01-13;4;25,8;92,8;
2024-01-14;126;25,7;90,3;
2024-01-15;1;28,3;77,6;
2024-01-16;0;29,7;72,1;
2024-01-17;0;30,1;74,4;
2024-01-18;0;28;81,9;
2024-01-19;4,6;27,4;85,1;
2024-01-20;2;28,6;78;
2024-01-21;39,2;26,7;83,5;
2024-01-22;14;25,4;86,1;
2024-01-23;9,4;21,8;95,1;
2024-01-24;48,6;21,4;92,1;
2024-01-25;4,8;23,4;91,5;
2024-01-26;17,4;23,1;91,6;
2024-01-27;3,2;23,4;91,3;
2024-01-28;2;23,8;90,8;
2024-01-29;13,8;24,9;84,3;
2024-01-30;0;26,5;83,3;
2024-01-31;0;25,9;86,2;
2024-02-01;4,6;25,7;78,4;
2024-02-02;0;24,7;89,8;
2024-02-03;20,4;25,4;87,5;
2024-02-04;2;26;88,4;
2024-02-05;19;25,6;84,1;
2024-02-06;2;25,8;84,8;
2024-02-07;0;26,2;83,9;
2024-02-08;0;26,7;83;
2024-02-09;0;26,5;81,2;
2024-02-10;0;27;76,4;
2024-02-11;0;27,7;75,9;
2024-02-12;0;28,9;68,5;
2024-02-13;0;28,9;72;
2024-02-14;0;27,4;76,5;
2024-02-15;3,6;24,6;94,2;
2024-02-16;56,6;24,9;85,1;
2024-02-17;2;25;83,3;
2024-02-18;0;25,4;85,9;
2024-02-19;0;25,5;85,1;
2024-02-20;0;24,8;89,3;
2024-02-21;4,6;25,2;92,8;
2024-02-22;51;26;87,7;
2024-02-23;6;27,7;83,3;
2024-02-24;0;28,3;81,3;
2024-02-25;0;27,2;84,3;
2024-02-26;0;26,5;87;
2024-02-27;0;27,3;83,4;
2024-02-28;6;27,9;83,1;
2024-02-29;2;26,7;85,1;
2024-03-01;0;26,5;86,8;
2024-03-02;8;25,3;82,9;
2024-03-03;2;25,2;79,3;
2024-03-04;0;25,8;77,2;
2024-03-05;0;26,1;82,5;
2024-03-06;25;25,4;89,8;
2024-03-07;2;25,9;88,8;
2024-03-08;0;26,3;87;
2024-03-09;0;27,6;82,7;
2024-03-10;15,2;27,6;82,5;
2024-03-11;0;26;84,8;
2024-03-12;0;24,6;90,1;
2024-03-13;0;25;84,9;
2024-03-14;0;26,3;81;
2024-03-15;0;27,4;81;
2024-03-16;0;28,2;79,8;
2024-03-17;0;28,9;80;
2024-03-18;0;27,5;83,9;
2024-03-19;0;27,1;87,1;
2024-03-20;27,6;26,8;87,6;
2024-03-21;6,2;29,7;74,9;
2024-03-22;2;25,7;87,9;
2024-03-23;93,4;23,4;87,4;
2024-03-24;9,2;23;95,4;
2024-03-25;9,2;24,5;88,4;
2024-03-26;4;23,2;93,9;
2024-03-27;6,4;23;93,3;
2024-03-28;4;23,5;95,2;
2024-03-29;4,2;24,7;91,1;
2024-03-30;0;25;87,6;
2024-03-31;2;24,2;87,5;
2024-04-01;0;23,6;85,2;
2024-04-02;0;24,1;85,2;
2024-04-03;0;24,3;86,3;
2024-04-04;0;24,6;85,4;
2024-04-05;0;25;84,6;
2024-04-06;0;24,3;84,6;
2024-04-07;0;24,2;87,5;
2024-04-08;0;24,7;86,7;
2024-04-09;0;24,8;87,9;
2024-04-10;0;24,4;84,9;
2024-04-11;0;24,8;87,8;
2024-04-12;0;24,6;86,4;
2024-04-13;0;25;82,3;
2024-04-14;0;24,4;85,4;
2024-04-15;0;25,3;80,7;
2024-04-16;0;26,3;78,5;
2024-04-17;0;25,6;80,6;
2024-04-18;8,6;22,6;89;
2024-04-19;0;21,7;81,4;
2024-04-20;0;20,9;82,3;
2024-04-21;0;21,3;82,9;
2024-04-22;0;22,4;78,9;
2024-04-23;0;23,9;79,7;
2024-04-24;0;24,7;77,5;
2024-04-25;0;24;89;
2024-04-26;0;24,1;85,6;
2024-04-27;0;24,6;80,2;
2024-04-28;0;27;71,4;
2024-04-29;0;24,6;86,3;
2024-04-30;0;26,3;81,7;
2024-05-01;0;26,2;80,4;
2024-05-02;0;27,1;72,8;
2024-05-03;0;25;80,3;
2024-05-04;0;24,7;83,1;
2024-05-05;0;24,6;81,5;
2024-05-06;0;24,3;81,3;
2024-05-07;0;25,2;77,4;
2024-05-08;0;25,9;72,1;
2024-05-09;0;26;73,1;
2024-05-10;0;24,7;83,4;
2024-05-11;0;25,1;77,6;
2024-05-12;0;25,7;73,5;
2024-05-13;0;25,7;69,8;
2024-05-14;0;24,2;83,2;
2024-05-15;5,6;21,3;96,7;
2024-05-16;6,2;22,8;90,1;
2024-05-17;2;25,4;78,1;
2024-05-18;0;23,6;85,5;
2024-05-19;0;23,3;89,3;
2024-05-20;0;24,4;83,2;
2024-05-21;3;22,6;88;
2024-05-22;2;23,1;84,5;
2024-05-23;0;23,9;79,2;
2024-05-24;0;24,5;75,6;
2024-05-25;0;21,9;87,2;
2024-05-26;20,4;19,3;96,8;
2024-05-27;19;20;96,8;
2024-05-28;6;23,8;83,8;
2024-05-29;4;21;79,6;
2024-05-30;0;20,1;72,5;
2024-05-31;2;19;88;
2024-06-01;2;20,7;83,4;
2024-06-02;0;20,5;81,8;
2024-06-03;0;21,1;82,6;
2024-06-04;0;21,7;85,2;
2024-06-05;10,6;20,7;91,5;
2024-06-06;2;20,6;86,9;
2024-06-07;0;20,7;87,7;
2024-06-08;0;20,6;89,5;
2024-06-09;0;21,7;87,1;
2024-06-10;2;21,9;81;
2024-06-11;0;20,9;81,4;
2024-06-12;0;20,3;83,5;
2024-06-13;0;20,5;81,8;
2024-06-14;2;21,4;75,4;
2024-06-15;0;21,6;74,4;
2024-06-16;0;21,4;77,4;
2024-06-17;0;21,5;75,2;
2024-06-18;0;21,8;71,6;
2024-06-19;0;20,9;77,8;
2024-06-20;0;20,2;73,8;
2024-06-21;0;19,6;78,8;
2024-06-22;0;22,1;76,7;
2024-06-23;0;24,6;63;
2024-06-24;0;23,6;71,8;
2024-06-25;0;23,9;82,4;
2024-06-26;2;24,1;80,6;
2024-06-27;2;23,6;79,5;
2024-06-28;0;24,5;77,3;
2024-06-29;0;22,7;83,6;
2024-06-30;9,8;18,7;93,5;
2024-07-01;2,8;18;95,3;
2024-07-02;6,6;19,2;88;
2024-07-03;4;20,9;83;
2024-07-04;0;22,6;79,5;
2024-07-05;0;20,7;84,6;
2024-07-06;0;20,4;84,8;
2024-07-07;0;21;84,3;
2024-07-08;0;20,4;87,2;
2024-07-09;0;20;91,7;
2024-07-10;2;21,9;85,8;
2024-07-11;4,8;20,9;93,1;
2024-07-12;0;21;93,8;
2024-07-13;3,6;20,2;94,8;
2024-07-14;1,2;21,5;86,5;
2024-07-15;0;19,8;88,8;
2024-07-16;0;18,9;87,6;
2024-07-17;0;20,3;87,1;
2024-07-18;0;19,3;86,8;
2024-07-19;0;18,8;87,3;
2024-07-20;0;17,3;86,2;
2024-07-21;0;18,3;86,7;
2024-07-22;0;18,8;86,5;
2024-07-23;2;18,6;86,5;
2024-07-24;0;19,3;81,6;
2024-07-25;0;20,6;78,2;
2024-07-26;2;20,5;76,5;
2024-07-27;0;20,6;77,1;
2024-07-28;0;22,2;72,8;
2024-07-29;0;19,7;86,3;
2024-07-30;0;18,8;92,7;
2024-07-31;21,2;20;86,7;
2024-08-01;2;20,6;82,4;
2024-08-02;0;20,1;80,4;
2024-08-03;0;21,3;81,5;
2024-08-04;0;23,5;78;
2024-08-05;0;22,9;77,9;
2024-08-06;0;22,6;77,4;
2024-08-07;0;23,6;65,4;
2024-08-08;0;24,1;64,9;
2024-08-09;0;21,7;81;
2024-08-10;26,6;17,4;92,6;
2024-08-11;15,8;16,1;84,8;
2024-08-12;2;16,5;76,4;
2024-08-13;0;14,7;77,5;
2024-08-14;0;16,2;80,3;
2024-08-15;0;19,2;82,3;
2024-08-16;0;21,3;81,3;
2024-08-17;0;21,7;78,1;
2024-08-18;2;21,7;77,8;
2024-08-19;0;22,9;73,3;
2024-08-20;0;21;83,5;
2024-08-21;0;21,9;80,9;
2024-08-22;0;24,1;73,5;
2024-08-23;0;26,1;58,3;
2024-08-24;0;23,4;78,9;
2024-08-25;3,4;19,3;88;
2024-08-26;22,8;15,4;90,3;
2024-08-27;0;15,9;78,9;
2024-08-28;0;18,4;79,6;
2024-08-29;0;19,1;81,8;
2024-08-30;0;20,2;79,6;
2024-08-31;0;19,5;86,2;
2024-09-01;0;23,3;78,9;
2024-09-02;0;22,2;75,5;
2024-09-03;0;22,1;80,9;
2024-09-04;0;22,7;82,8;
2024-09-05;0;22,1;83;
2024-09-06;0;22,4;85,8;
2024-09-07;0;22,8;86,8;
2024-09-08;0;23,7;85,5;
2024-09-09;0;24,5;76,9;
2024-09-10;0;24;77,3;
2024-09-11;0;26,1;61,1;
2024-09-12;0;27;55,5;
2024-09-13;0;25,2;66,7;
2024-09-14;0;26,4;57,3;
2024-09-15;0;21,6;87,3;
2024-09-16;0;22,4;85,2;
2024-09-17;4,4;20,1;88,7;
2024-09-18;4,6;21;79,5;
2024-09-19;0;21,7;77,4;
2024-09-20;0;24,9;73,1;
2024-09-21;0;25,3;76,6;
2024-09-22;4;24,4;81,5;
2024-09-23;0;24,4;77,3;
2024-09-24;0;24,6;77;
2024-09-25;0;25,6;73;
2024-09-26;0;25,9;71,1;
2024-09-27;0;23,4;84,1;
2024-09-28;4;22,1;78,3;
2024-09-29;0;23;74,2;
2024-09-30;0;23,8;73,1;
2024-10-01;0;28,1;55,6;
2024-10-02;0;26,9;61,7;
2024-10-03;0;24,7;78,3;
2024-10-04;14,2;20,7;93,6;
2024-10-05;16,6;21;82,5;
2024-10-06;0;21,1;69,1;
2024-10-07;0;21,8;69,8;
2024-10-08;0;22,1;75,3;
2024-10-09;0;21,9;88,5;
2024-10-10;6;22,1;90,2;
2024-10-11;0;24,9;75,4;
2024-10-12;0;27,2;64,9;
2024-10-13;4;23,4;79,6;
2024-10-14;0;22,9;70,6;
2024-10-15;0;23,2;64,8;
2024-10-16;0;22,8;75,7;
2024-10-17;0;22,6;80;
2024-10-18;0;22,7;85,3;
2024-10-19;1;21,3;92,5;
2024-10-20;56,4;20,9;95,6;
2024-10-21;8,6;23,4;91,1;
2024-10-22;2;25,8;79;
2024-10-23;0;25,1;82,6;
2024-10-24;0;25,7;82,1;
2024-10-25;15,6;28,7;62,7;
2024-10-26;0;27,1;73,5;
2024-10-27;9,6;22,2;84,9;
2024-10-28;0;21,1;92;
2024-10-29;5,2;22,4;87,3;
2024-10-30;0;23,5;77,9;
2024-10-31;0;22,3;81,5;
2024-11-01;0;23,6;80,2;
2024-11-02;0;24,7;80,4;
2024-11-03;0;25,4;79,5;
2024-11-04;0;25,1;83,4;
2024-11-05;1,4;25,9;80,3;
2024-11-06;6;26,3;73,8;
2024-11-07;0;27,9;67,8;
2024-11-08;0;25,8;78,8;
2024-11-09;21,8;22,2;89;
2024-11-10;1,4;21,8;80,9;
2024-11-11;0;23,1;74,4;
2024-11-12;0;25,4;73;
2024-11-13;6;21,6;92,2;
2024-11-14;29;20,9;88,4;
2024-11-15;19,6;22,6;92,5;
2024-11-16;32,6;23;94,9;
2024-11-17;8,6;23,8;86,3;
2024-11-18;0;24,5;79,1;
2024-11-19;0;23,6;85;
2024-11-20;0;24,7;84,2;
2024-11-21;0;24,3;86,6;
2024-11-22;2;22,5;89,2;
2024-11-23;2,2;20,8;91,6;
2024-11-24;1,8;21;84;
2024-11-25;0;22,2;77;
2024-11-26;0;24,4;72;
2024-11-27;0;27,6;66;
2024-11-28;0;29,2;66,3;
2024-11-29;1,2;25,5;80,7;
2024-11-30;6;25,1;87;
2024-12-01;8;25,4;84,7;
2024-12-02;0;28,8;71,2;
2024-12-03;17,2;25,2;90,4;
2024-12-04;28,6;22,5;96,7;
2024-12-05;17,4;22,7;93,8;
2024-12-06;3,2;27,8;80,4;
2024-12-07;0;28,3;68,3;
2024-12-08;0;26,4;82,3;
2024-12-09;0;25,8;85,6;
2024-12-10;2,4;25,9;84,3;
2024-12-11;20;22,9;85,6;
2024-12-12;0;23,3;80,3;
2024-12-13;4;24,8;75,7;
2024-12-14;0;26,4;75,6;
2024-12-15;18,2;26,6;75;
2024-12-16;3,2;27,8;68,2;
2024-12-17;2,2;24;81,7;
2024-12-18;0;23,3;86,5;
2024-12-19;0;24,7;80,5;
2024-12-20;0;28,2;71,8;
2024-12-21;4,4;25,9;82,8;
2024-12-22;0;25;88,8;
2024-12-23;1,4;23,8;92,6;
2024-12-24;2,6;24;87,6;
2024-12-25;0;26,4;81,3;
2024-12-26;0;26,3;84,2;
2024-12-27;13,2;25,6;89,1;
2024-12-28;10,2;25,2;87,6;
2024-12-29;0;24,8;89,5;
2024-12-30;4;25;87,2;
2024-12-31;0;24,9;83,3;

