Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;2,6;20,3;84,5;
2024-01-02;2,4;22;80,8;
2024-01-03;2,8;23,8;81,2;
2024-01-04;36,4;22,2;84,8;
2024-01-05;1,8;23,6;78,9;
2024-01-06;2;23,7;74,6;
2024-01-07;0;24,4;74,5;
2024-01-08;0;25,6;75,4;
2024-01-09;0;26,2;69,8;
2024-01-10;0;26,6;69,3;
2024-01-11;0;25,1;77,4;
2024-01-12;17;23,9;83,4;
2024-01-13;76;23,5;86,5;
2024-01-14;28,6;23,9;84,7;
2024-01-15;1,4;24,7;81,5;
2024-01-16;8,6;26,2;75;
2024-01-17;0;26,5;77,3;
2024-01-18;11,8;25,6;81,5;
2024-01-19;4;25,2;83,8;
2024-01-20;4;25;81,1;
2024-01-21;23,8;24,3;80,8;
2024-01-22;1;23,7;76;
2024-01-23;1,8;20,9;83,9;
2024-01-24;20,4;20;82,7;
2024-01-25;0;22,8;79,3;
2024-01-26;0;22,1;78,2;
2024-01-27;0;22,5;79,2;
2024-01-28;7,6;23,4;82,8;
2024-01-29;24,2;24,1;80,1;
2024-01-30;2;25;79,6;
2024-01-31;2,4;23;81,3;
2024-02-01;6,6;22,5;80;
2024-02-02;2,2;22,7;83,5;
2024-02-03;0;24;79;
2024-02-04;0;24,1;79,4;
2024-02-05;0;23;81,2;
2024-02-06;0;23,8;77,8;
2024-02-07;2;24,3;76,6;
2024-02-08;0;24,4;77,2;
2024-02-09;1,2;23,4;81,3;
2024-02-10;0;23,3;73;
2024-02-11;0;25,3;71,3;
2024-02-12;0;25,3;73,4;
2024-02-13;0;26,2;72,5;
2024-02-14;3,8;23,9;77,8;
2024-02-15;4,6;22,1;89,1;
2024-02-16;39,6;22,6;81,3;
2024-02-17;0;22,6;75,7;
2024-02-18;0;23,3;79;
2024-02-19;4;24,5;78,1;
2024-02-20;2;22,5;84,1;
2024-02-21;12,2;24,4;82,5;
2024-02-22;8;24;83;
2024-02-23;4;24,8;78;
2024-02-24;0;25,6;77,8;
2024-02-25;0;25,1;80,5;
2024-02-26;0;24,6;78,1;
2024-02-27;0;25,6;78,4;
2024-02-28;0;26;77,9;
2024-02-29;0;25,8;78,9;
2024-03-01;0;25,1;81,2;
2024-03-02;5;23,6;74,1;
2024-03-03;0;22,4;76,1;
2024-03-04;0;23;75;
2024-03-05;0;25,2;74,8;
2024-03-06;40,4;23,8;83,7;
2024-03-07;1,8;24,5;81,3;
2024-03-08;2;25,3;78,3;
2024-03-09;0;25,5;79,6;
2024-03-10;11,4;25;83,5;
2024-03-11;2;24,3;76,3;
2024-03-12;2;22,8;78,2;
2024-03-13;0;23,8;79,2;
2024-03-14;0;24,8;78,7;
2024-03-15;0;24,9;79,3;
2024-03-16;0;25,8;77,1;
2024-03-17;0;27,4;73,6;
2024-03-18;0;26,8;74,5;
2024-03-19;0;26,2;79,8;
2024-03-20;7;25;81;
2024-03-21;7,6;26,1;81;
2024-03-22;0;23,7;83,2;
2024-03-23;2,2;20,8;81,2;
2024-03-24;0;21,6;81,5;
2024-03-25;0;22,8;79,8;
2024-03-26;22,4;21,3;86,8;
2024-03-27;3,6;20,9;86,7;
2024-03-28;1,2;21,3;89,8;
2024-03-29;4,4;22,6;89,1;
2024-03-30;8,2;23,6;85;
2024-03-31;6;22,2;76,8;
2024-04-01;2;21;77,4;
2024-04-02;0;22,1;80,6;
2024-04-03;0;22,6;74,8;
2024-04-04;0;22,1;81,1;
2024-04-05;0;23,6;77,1;
2024-04-06;0;22;76,8;
2024-04-07;0;21,3;76,8;
2024-04-08;0;21,9;77,4;
2024-04-09;2;22,7;77,2;
2024-04-10;0;23;75,8;
2024-04-11;0;23,4;77,1;
2024-04-12;0;22,6;75,1;
2024-04-13;0;23,2;74,7;
2024-04-14;0;21,5;78,5;
2024-04-15;0;23;75,3;
2024-04-16;0;23,7;72;
2024-04-17;0;23,5;75,6;
2024-04-18;6;21;79,6;
2024-04-19;0;19,9;71,7;
2024-04-20;0;20,1;72,7;
2024-04-21;0;19,2;75,5;
2024-04-22;0;19,1;75;
2024-04-23;0;20,6;74,5;
2024-04-24;0;21,6;72;
2024-04-25;0;21,8;75;
2024-04-26;0;22,8;78,6;
2024-04-27;0;22,6;73,9;
2024-04-28;0;22;74,6;
2024-04-29;0;21,7;74,8;
2024-04-30;0;21,9;75,4;
2024-05-01;0;22,4;77,2;
2024-05-02;0;22,8;75;
2024-05-03;0;22,8;73,8;
2024-05-04;0;21,6;73,6;
2024-05-05;0;19,6;75,7;
2024-05-06;0;21,4;76,5;
2024-05-07;0;20,4;77,8;
2024-05-08;0;21;73,8;
2024-05-09;0;21,1;73,7;
2024-05-10;0;21,9;71;
2024-05-11;0;20,8;74,8;
2024-05-12;0;21,9;75;
2024-05-13;0;21,8;69,1;
2024-05-14;0;21,7;74,5;
2024-05-15;0;21,7;78,4;
2024-05-16;0;21,4;78,8;
2024-05-17;0;22,1;74,4;
2024-05-18;0;21,6;73;
2024-05-19;0;21,3;78,3;
2024-05-20;0;21,9;75,4;
2024-05-21;0;21,4;77,5;
2024-05-22;0;20,4;75,3;
2024-05-23;0;19,9;74,7;
2024-05-24;0;21,1;72,9;
2024-05-25;0;19,6;76,4;
2024-05-26;6;17,4;85,8;
2024-05-27;15,4;18,3;88,1;
2024-05-28;0;21,1;80,7;
2024-05-29;0;18,6;81;
2024-05-30;0;16,8;69;
2024-05-31;0;14,7;77;
2024-06-01;0;16,2;77,6;
2024-06-02;0;17,6;75;
2024-06-03;0;16,5;74,9;
2024-06-04;0;18,5;75,4;
2024-06-05;0;18,3;79,7;
2024-06-06;0;17,7;78,5;
2024-06-07;0;16,1;76,5;
