Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;0;23;75,6;
2024-01-02;,2;24,6;77,3;
2024-01-03;3,2;26;82,4;
2024-01-04;27,2;25,7;83,8;
2024-01-05;,4;26,2;76,2;
2024-01-06;,4;25,6;76;
2024-01-07;,2;26,1;74;
2024-01-08;,2;27,6;71;
2024-01-09;0;26,8;79,2;
2024-01-10;9;27,6;73;
2024-01-11;,2;28,3;73,7;
2024-01-12;,6;27,4;77,9;
2024-01-13;4,4;25,6;88,2;
2024-01-14;62,2;25,2;90,6;
2024-01-15;5;27,8;78,5;
2024-01-16;1;29,2;69,9;
2024-01-17;0;27,8;79,3;
2024-01-18;14,8;27,8;79,3;
2024-01-19;46,8;26,7;86,8;
2024-01-20;,4;28;79,6;
2024-01-21;59;26,4;81,3;
2024-01-22;8,8;24,9;84,3;
2024-01-23;18;22,2;90;
2024-01-24;33,6;21,1;91;
2024-01-25;17,8;24;86,8;
2024-01-26;11,8;24,7;80,5;
2024-01-27;2,4;24,7;82;
2024-01-28;,2;25,2;83,7;
2024-01-29;119;25,2;82;
2024-01-30;0;26,9;79,6;
2024-01-31;6;25,2;84,8;
2024-02-01;30,6;24,3;81,4;
2024-02-02;8,4;25,1;85;
2024-02-03;,6;26,7;80,1;
2024-02-04;,2;27,4;77,8;
2024-02-05;0;26,5;78,5;
2024-02-06;0;26,2;78,8;
2024-02-07;,2;26,7;75,7;
2024-02-08;0;26,5;79;
2024-02-09;0;27;73,7;
2024-02-10;0;25,9;74;
2024-02-11;0;28,5;65,5;
2024-02-12;0;28,6;67,1;
2024-02-13;0;28,8;68,8;
2024-02-14;0;27,5;74,3;
2024-02-15;14,8;24,9;89,3;
2024-02-16;5,4;25,5;76,8;
2024-02-17;,2;26,7;69,3;
2024-02-18;0;26,2;76,7;
2024-02-19;4;25,1;84,4;
2024-02-20;21,8;24,4;86,2;
2024-02-21;5,4;25,5;87,6;
2024-02-22;16,4;26,3;85,1;
2024-02-23;0;27,4;79,5;
2024-02-24;,2;27,9;79;
2024-02-25;1;27,9;77,1;
2024-02-26;0;27,2;78,9;
2024-02-27;10,4;26,4;81,1;
2024-02-28;0;27,9;76;
2024-02-29;0;27,7;76;
2024-03-01;0;26,9;80,1;
2024-03-02;6,2;25,6;75,4;
2024-03-03;0;25,2;72,6;
2024-03-04;0;25,8;75,1;
2024-03-05;0;27,9;72,9;
2024-03-06;14,4;25,3;83,7;
2024-03-07;45,8;24,9;88,9;
2024-03-08;90,2;25,7;87;
