Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-01-01;0;23,5;74,2;
2024-01-02;,6;24,5;80,1;
2024-01-03;1,2;26,6;81,5;
2024-01-04;19,4;25,3;86,4;
2024-01-05;,8;25,5;82;
2024-01-06;1,6;25,6;80,6;
2024-01-07;0;25,3;79,4;
2024-01-08;0;28,1;73,5;
2024-01-09;0;28,2;76,8;
2024-01-10;0;28,1;73,8;
2024-01-11;0;29,2;71,8;
2024-01-12;3,4;26,9;79,9;
2024-01-13;0;26,8;83,8;
2024-01-14;58,4;25,1;90,8;
2024-01-15;2,6;28,7;74,6;
2024-01-16;,2;29,7;72,9;
2024-01-17;0;29,5;78,2;
2024-01-18;0;28,1;84,1;
2024-01-19;25,6;26,8;86,8;
2024-01-20;1;28,5;77,4;
2024-01-21;28,4;26,5;82,9;
2024-01-22;19;25,1;87,5;
2024-01-23;2,8;22,5;91,4;
2024-01-24;47,4;21,5;92,8;
2024-01-25;11,2;23,4;92;
2024-01-26;30,2;23,8;89,8;
2024-01-27;10;24,4;87,2;
2024-01-28;0;24,6;87,7;
2024-01-29;13,4;25,4;81,6;
2024-01-30;,2;26,4;86,4;
2024-01-31;0;25,6;87,4;
2024-02-01;10,2;25,4;81,2;
2024-02-02;,2;25,3;86,5;
2024-02-03;2,8;26,3;84,8;
2024-02-04;,2;28;76,8;
2024-02-05;0;26,9;81;
2024-02-06;0;26,3;83,2;
2024-02-07;0;26,1;82,7;
2024-02-08;0;26,7;82,9;
2024-02-09;0;27,3;77,9;
2024-02-10;0;27;70,5;
2024-02-11;0;28,8;67,5;
2024-02-12;0;29;68,5;
2024-02-13;0;28,9;74,3;
2024-02-14;0;27,8;74,4;
2024-02-15;16,6;24,5;93,1;
2024-02-16;14,2;25,5;81,5;
2024-02-17;,2;25,9;78,4;
2024-02-18;0;26,3;79,5;
2024-02-19;0;25,6;82,2;
2024-02-20;0;24,4;86,9;
2024-02-21;,8;25,1;91;
2024-02-22;6,2;26,4;86,1;
2024-02-23;,2;27,8;77,6;
2024-02-24;0;28,4;76,9;
2024-02-25;0;27,6;82;
2024-02-26;0;26,3;85,8;
2024-02-27;2,2;26,2;85,8;
2024-02-28;,6;27,5;80,3;
2024-02-29;,2;27,2;82,1;
2024-03-01;0;26,4;86,9;
2024-03-02;4,8;25;82;
2024-03-03;,2;25,1;77,1;
2024-03-04;0;26,3;74,4;
2024-03-05;0;27,1;78,8;
2024-03-06;8,2;25,3;87,7;
2024-03-07;5,6;25,3;89,6;
2024-03-08;7,4;25,5;90,4;
2024-03-09;6,6;27,6;80,9;
2024-03-10;2,8;27,1;83,6;
2024-03-11;0;26,5;81,1;
2024-03-12;0;24,3;86,5;
2024-03-13;0;24,3;84,2;
2024-03-14;0;25,7;81;
2024-03-15;0;28;76,5;
2024-03-16;0;28,3;78;
2024-03-17;0;28,2;79,4;
2024-03-18;0;27,4;81,6;
2024-03-19;0;26,9;86,8;
2024-03-20;0;28,6;78,9;
2024-03-21;0;29,9;70;
2024-03-22;0;26,4;84,6;
2024-03-23;101,8;23,4;88,5;
2024-03-24;37,8;23,1;94,2;
2024-03-25;10,2;24,7;84,5;
2024-03-26;,4;23,9;88,7;
2024-03-27;5;23,5;88,7;
2024-03-28;3,2;23,3;94,3;
2024-03-29;13,6;24,9;90,3;
2024-03-30;3;25,7;82,8;
2024-03-31;0;25;82,2;
2024-04-01;0;23,9;84,4;
2024-04-02;0;24,1;82,6;
2024-04-03;0;24,6;84,4;
2024-04-04;0;25,1;83,8;
2024-04-05;0;24,7;86,5;
2024-04-06;0;24,8;82,6;
2024-04-07;0;23,8;86,7;
2024-04-08;0;25,7;75,8;
