codigo_local_inmet;municipio_inmet;nome_municipio_ibge;uf_ibge;codigo_municipio_ibge_7;codigo_municipio_sus
A601;SEROPEDICA;Seropédica;RJ;3305554;330555
A602;RIO DE JANEIRO;Rio de Janeiro;RJ;3304557;330455
A603;DUQUE DE CAXIAS;Duque de Caxias;RJ;3301702;330170
A604;CAMBUCI;Cambuci;RJ;3300902;330090
A606;ARRAIAL DO CABO;Arraial do Cabo;RJ;3300258;330025
A607;CAMPOS DOS GOYTACAZES;Campos dos Goytacazes;RJ;3301009;330100
A608;MACAE;Macaé;RJ;3302403;330240
A609;RESENDE;Resende;RJ;3304201;330420
A610;PICO DO COUTO;;RJ;;
A611;VALENCA;Valença;RJ;3306107;330610
A618;TERESOPOLIS;Teresópolis;RJ;3305802;330580
A619;PARATY;Paraty;RJ;3303807;330380
A620;CAMPOS DOS GOYTACAZES;Campos dos Goytacazes;RJ;3301009;330100
A621;RIO DE JANEIRO;Rio de Janeiro;RJ;3304557;330455
A624;NOVA FRIBURGO;Nova Friburgo;RJ;3303401;330340
A625;TRES RIOS;Três Rios;RJ;3306008;330600
A626;RIO CLARO;Rio Claro;RJ;3304409;330440
A627;NITEROI;Niterói;RJ;3303302;330330
A628;ANGRA DOS REIS;Angra dos Reis;RJ;3300100;330010
A629;CARMO;Carmo;RJ;3301207;330120
A630;SANTA MARIA MADALENA;Santa Maria Madalena;RJ;3304607;330460
A636;RIO DE JANEIRO;Rio de Janeiro;RJ;3304557;330455
A637;PATY DO ALFERES;Paty do Alferes;RJ;3303856;330385
A652;RIO DE JANEIRO;Rio de Janeiro;RJ;3304557;330455
A659;SILVA JARDIM;Silva Jardim;RJ;3305604;330560
A667;SAQUAREMA;Saquarema;RJ;3305505;330550
